"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"04/01","火","2","9","0","0","11","13","84.62%","33,000","60,552","25,345","118,897","143,500","91.14%","10,809","11"
"04/02","水","0","3","0","0","3","13","23.08%","12,335","32,282","3,800","48,417","143,500","37.11%","16,139","2"
"04/03","木","2","7","0","0","9","13","69.23%","19,900","61,216","21,500","102,616","143,500","78.66%","11,402","8"
"04/04","金","1","11","0","0","12","13","92.31%","53,918","73,016","18,100","145,034","143,500","111.18%","12,086","11"
"04/05","土","2","18","0","0","20","13","153.85%","33,994","178,545","2,400","214,939","143,500","164.77%","10,747","20"
"04/06","日","2","17","0","0","19","13","146.15%","60,163","132,831","0","192,994","143,500","147.94%","10,158","19"
"04/07","月","1","7","0","1","9","13","69.23%","9,959","56,285","7,000","73,244","143,500","56.15%","8,138","8"
"04/08","火","2","4","0","0","6","13","46.15%","4,977","55,530","3,800","64,307","143,500","49.3%","10,718","6"
"04/09","水","0","10","0","1","11","13","84.62%","31,000","57,578","20,499","109,077","143,500","83.62%","9,916","9"
"04/10","木","1","5","0","0","6","13","46.15%","27,218","53,907","0","81,125","143,500","62.19%","13,521","6"
"04/11","金","4","9","0","0","13","14","92.86%","44,181","97,960","17,600","159,741","143,500","122.45%","12,288","12"
"04/12","土","1","22","0","0","23","14","164.29%","40,052","191,088","12,581","243,721","143,500","186.83%","10,597","23"
"04/13","日","1","17","0","0","18","14","128.57%","24,900","152,359","2,000","179,259","143,500","137.41%","9,959","18"
"04/14","月","1","6","0","0","7","14","50%","18,435","64,018","2,600","85,053","143,500","65.2%","12,150","7"
"04/15","火","3","4","0","0","7","14","50%","12,500","64,434","0","76,934","143,500","58.98%","10,991","7"
"04/16","水","2","10","0","0","12","14","85.71%","2,889","112,225","8,300","123,414","143,500","94.61%","10,285","11"
"04/17","木","0","10","0","0","10","14","71.43%","26,296","74,620","5,800","106,716","143,500","81.8%","10,672","10"
"04/18","金","2","5","0","0","7","14","50%","3,308","62,163","14,900","80,371","143,500","61.61%","11,482","6"
"04/19","土","3","22","0","0","25","14","178.57%","45,388","197,039","1,800","244,227","143,500","187.22%","9,769","25"
"04/20","日","5","15","0","0","20","14","142.86%","19,876","165,183","2,600","187,659","143,500","143.85%","9,383","20"
"04/21","月","1","10","0","0","11","14","78.57%","20,500","108,832","2,000","131,332","143,500","100.68%","11,939","11"
"04/22","火","3","10","0","0","13","14","92.86%","21,769","82,392","9,500","113,661","143,500","87.13%","8,743","13"
"04/23","水","2","12","0","0","14","14","100%","18,757","136,102","64,600","219,459","143,500","168.23%","15,676","13"
"04/24","木","0","8","0","0","8","14","57.14%","8,000","58,943","0","66,943","143,500","51.32%","8,368","8"
"04/25","金","2","3","0","1","6","14","42.86%","4,000","42,144","12,200","58,344","143,500","44.72%","9,724","5"
"04/26","土","3","22","0","0","25","14","178.57%","48,418","200,756","35,872","285,046","143,500","218.51%","11,402","23"
"04/27","日","3","15","0","0","18","14","128.57%","30,358","137,973","13,200","181,531","143,500","139.16%","10,085","18"
"04/28","月","2","6","0","0","8","14","57.14%","3,781","81,799","0","85,580","143,500","65.6%","10,698","8"
"04/29","火","8","8","0","0","16","14","114.29%","22,706","119,163","3,800","145,669","143,500","111.67%","9,104","16"
"04/30","水","1","11","0","0","12","14","85.71%","20,892","84,143","15,291","120,326","143,500","92.24%","10,027","10"
"TOTAL","","60","316","0","3","379","410","92.44%","723,470","2,995,078","327,088","4,045,636","4,305,000","93.98%","10,675","364"
