"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"07/01","水","1","5","0","0","6","12","50%","27,500","42,381","6,608","76,489","132,354","63.57%","12,748","5"
"07/02","木","0","7","0","0","7","12","58.33%","22,309","65,779","7,671","95,759","132,354","79.59%","13,680","7"
"07/03","金","1","6","0","0","7","12","58.33%","35,591","69,936","10,444","115,971","132,354","96.39%","16,567","6"
"07/04","土","3","16","0","0","19","12","158.33%","20,844","163,308","16,096","200,248","132,354","166.43%","10,539","18"
"07/05","日","1","13","0","0","14","12","116.67%","42,132","97,477","14,168","153,777","132,354","127.81%","10,984","13"
"07/06","月","3","10","0","0","13","12","108.33%","34,154","78,115","7,491","119,760","132,355","99.54%","9,212","12"
"07/07","火","0","6","0","0","6","12","50%","22,234","49,432","11,187","82,853","132,355","68.86%","13,809","6"
"07/08","水","1","7","0","0","8","12","66.67%","18,485","64,195","13,291","95,971","132,355","79.76%","11,996","8"
"07/09","木","4","8","0","0","12","12","100%","25,807","107,611","13,307","146,725","132,355","121.94%","12,227","12"
"07/10","金","2","11","0","0","13","12","108.33%","8,941","134,626","22,404","165,971","132,355","137.94%","12,767","13"
"07/11","土","0","15","0","0","15","12","125%","31,275","145,808","8,611","185,694","132,355","154.33%","12,380","15"
"07/12","日","4","8","0","0","12","12","100%","8,274","130,266","9,118","147,658","132,355","122.72%","12,305","12"
"07/13","月","2","6","0","0","8","12","66.67%","9,628","82,561","9,682","101,871","132,355","84.67%","12,734","8"
"07/14","火","2","5","0","0","7","12","58.33%","20,979","73,865","6,591","101,435","132,355","84.3%","14,491","7"
"07/15","水","4","3","0","0","7","12","58.33%","8,805","51,324","3,705","63,834","132,355","53.05%","9,119","7"
"07/16","木","3","6","0","0","9","12","75%","36,734","70,638","0","107,372","132,355","89.24%","11,930","9"
"07/17","金","0","8","0","0","8","12","66.67%","17,490","76,929","8,386","102,805","132,355","85.44%","12,851","8"
"07/18","土","4","14","0","0","18","12","150%","25,280","155,035","62,053","242,368","132,355","201.44%","13,465","18"
"07/19","日","4","9","0","0","13","12","108.33%","17,037","115,220","13,285","145,542","132,355","120.96%","11,196","13"
"07/20","月","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","9"
"07/21","火","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","9"
"07/22","水","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","4"
"07/23","木","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","7"
"07/24","金","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","7"
"07/25","土","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","12"
"07/26","日","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","6"
"07/27","月","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","1"
"07/28","火","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","7"
"07/29","水","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","7"
"07/30","木","0","0","0","0","0","12","0%","0","0","0","0","132,355","0%","0","2"
"07/31","金","0","0","0","0","0","13","0%","0","0","0","0","132,355","0%","0","4"
"TOTAL","","39","163","0","0","202","373","54.16%","433,499","1,774,506","244,098","2,452,103","4,103,000","59.76%","12,139","272"
