"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"01/01","水","0","0","0","0","0","12","0%","0","0","0","0","129,032","0%","0","0"
"01/02","木","0","0","0","0","0","12","0%","0","0","0","0","129,032","0%","0","0"
"01/03","金","0","0","0","0","0","12","0%","0","0","0","0","129,032","0%","0","0"
"01/04","土","1","11","0","0","12","13","92.31%","22,468","0","83,484","105,952","129,032","90.33%","8,829","13"
"01/05","日","2","12","0","0","14","13","107.69%","23,928","0","116,977","140,905","129,032","120.13%","10,065","14"
"01/06","月","3","5","0","0","8","13","61.54%","8,100","0","65,235","73,335","129,032","62.52%","9,167","8"
"01/07","火","1","4","0","0","5","13","38.46%","10,118","0","40,372","50,490","129,032","43.04%","10,098","4"
"01/08","水","0","3","0","1","4","13","30.77%","1,000","0","52,580","53,580","129,032","45.68%","13,395","3"
"01/09","木","4","7","0","1","12","13","92.31%","31,748","0","95,840","127,588","129,032","108.77%","10,632","11"
"01/10","金","2","14","0","0","16","13","123.08%","9,134","0","146,625","155,759","129,032","132.79%","9,735","17"
"01/11","土","4","14","0","0","18","13","138.46%","34,307","0","143,214","177,521","129,032","151.34%","9,862","17"
"01/12","日","2","10","0","0","12","13","92.31%","12,797","0","103,736","116,533","129,032","99.35%","9,711","12"
"01/13","月","6","12","0","0","18","13","138.46%","38,796","0","149,427","188,223","129,032","160.46%","10,457","18"
"01/14","火","0","6","0","0","6","13","46.15%","7,491","0","62,352","69,843","129,032","59.54%","11,641","6"
"01/15","水","3","6","0","0","9","13","69.23%","2,500","0","96,451","98,951","129,032","84.36%","10,995","9"
"01/16","木","2","4","0","0","6","13","46.15%","12,500","0","70,225","82,725","129,032","70.53%","13,788","6"
"01/17","金","0","5","0","0","5","13","38.46%","7,000","0","40,362","47,362","129,032","40.38%","9,472","5"
"01/18","土","3","13","0","0","16","13","123.08%","19,950","0","125,427","145,377","129,032","123.94%","9,086","16"
"01/19","日","5","7","0","0","12","13","92.31%","15,884","0","112,676","128,560","129,032","109.6%","10,713","12"
"01/20","月","2","10","0","1","13","13","100%","30,480","0","134,645","165,125","129,032","140.77%","12,702","12"
"01/21","火","1","12","0","0","13","13","100%","14,466","0","111,574","126,040","129,032","107.45%","9,695","13"
"01/22","水","1","10","0","0","11","13","84.62%","27,857","0","116,877","144,734","129,032","123.39%","13,158","11"
"01/23","木","1","13","0","0","14","13","107.69%","26,434","0","129,262","155,696","129,032","132.73%","11,121","13"
"01/24","金","2","12","0","0","14","13","107.69%","25,094","0","133,639","158,733","129,033","135.32%","11,338","12"
"01/25","土","5","18","0","0","23","13","176.92%","42,089","0","185,639","227,728","129,033","194.14%","9,901","23"
"01/26","日","2","18","0","0","20","13","153.85%","32,172","0","143,586","175,758","129,033","149.84%","8,788","20"
"01/27","月","3","9","0","0","12","13","92.31%","20,316","0","110,017","130,333","129,033","111.11%","10,861","12"
"01/28","火","1","10","0","1","12","13","92.31%","23,818","0","71,243","95,061","129,033","81.04%","7,922","10"
"01/29","水","2","11","0","0","13","13","100%","19,582","0","103,005","122,587","129,033","104.51%","9,430","13"
"01/30","木","3","10","0","0","13","13","100%","13,100","0","108,397","121,497","129,033","103.58%","9,346","13"
"01/31","金","0","12","0","0","12","13","92.31%","31,699","0","117,468","149,167","129,033","127.17%","12,431","12"
"TOTAL","","61","278","0","4","343","400","85.75%","564,828","0","2,970,335","3,535,163","4,000,000","88.38%","10,307","335"
