"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"11/01","ìy","4","13","0","0","17","11","154.55%","17,428","151,313","6,600","175,341","122,500","157.45%","10,314","18"
"11/02","ì˙","3","8","0","0","11","11","100%","36,354","75,798","2,272","114,424","122,500","102.75%","10,402","11"
"11/03","åé","2","10","0","0","12","11","109.09%","15,993","114,547","0","130,540","122,500","117.22%","10,878","12"
"11/04","âŒ","2","4","0","0","6","11","54.55%","5,000","53,563","0","58,563","122,500","52.59%","9,761","6"
"11/05","êÖ","2","4","0","0","6","11","54.55%","4,487","55,792","0","60,279","122,500","54.13%","10,047","6"
"11/06","ñÿ","0","7","0","0","7","11","63.64%","9,444","56,208","8,800","74,452","122,500","66.86%","10,636","7"
"11/07","ã‡","0","6","0","0","6","11","54.55%","25,354","32,653","14,345","72,352","122,500","64.97%","12,059","5"
"11/08","ìy","2","9","0","0","11","11","100%","28,094","105,513","5,600","139,207","122,500","125%","12,655","11"
"11/09","ì˙","2","13","0","0","15","11","136.36%","20,517","104,832","945","126,294","122,500","113.41%","8,420","14"
"11/10","åé","2","5","0","0","7","11","63.64%","25,154","44,744","2,600","72,498","122,500","65.1%","10,357","6"
"11/11","âŒ","3","3","0","0","6","12","50%","15,754","10,436","5,000","31,190","122,500","28.01%","5,198","6"
"11/12","êÖ","3","7","0","0","10","12","83.33%","14,566","75,795","4,591","94,952","122,500","85.27%","9,495","10"
"11/13","ñÿ","1","6","0","0","7","12","58.33%","6,984","49,941","4,945","61,870","122,500","55.56%","8,839","6"
"11/14","ã‡","2","12","0","0","14","12","116.67%","39,420","105,912","47,909","193,241","122,500","173.53%","13,803","13"
"11/15","ìy","3","12","0","0","15","12","125%","88,413","73,902","11,500","173,815","122,500","156.08%","11,588","15"
"11/16","ì˙","3","18","0","0","21","12","175%","23,645","170,420","3,800","197,865","122,500","177.68%","9,422","20"
"11/17","åé","0","7","0","0","7","12","58.33%","18,370","70,319","5,000","93,689","122,500","84.13%","13,384","7"
"11/18","âŒ","3","14","0","1","18","12","150%","25,700","102,087","16,372","144,159","122,500","129.45%","8,009","15"
"11/19","êÖ","1","7","0","0","8","12","66.67%","14,436","59,089","13,800","87,325","122,500","78.42%","10,916","7"
"11/20","ñÿ","3","4","0","0","7","12","58.33%","8,500","46,707","0","55,207","122,500","49.58%","7,887","7"
"11/21","ã‡","1","5","0","0","6","12","50%","17,618","36,290","0","53,908","122,500","48.41%","8,985","6"
"11/22","ìy","3","15","0","0","18","12","150%","38,092","112,250","25,872","176,214","122,500","158.24%","9,790","18"
"11/23","ì˙","6","12","0","0","18","12","150%","21,754","120,987","0","142,741","122,500","128.18%","7,930","17"
"11/24","åé","3","7","0","0","10","12","83.33%","19,990","67,353","5,000","92,343","122,500","82.92%","9,234","10"
"11/25","âŒ","3","4","0","0","7","12","58.33%","13,445","24,472","3,909","41,826","122,500","37.56%","5,975","6"
"11/26","êÖ","1","1","0","0","2","12","16.67%","479","18,880","5,736","25,095","122,500","22.54%","12,548","2"
"11/27","ñÿ","0","9","0","0","9","12","75%","3,484","85,577","25,436","114,497","122,500","102.82%","12,722","8"
"11/28","ã‡","3","5","0","0","8","12","66.67%","8,345","45,980","0","54,325","122,500","48.78%","6,791","8"
"11/29","ìy","3","15","0","0","18","12","150%","51,733","111,790","69,308","232,831","122,500","209.08%","12,935","16"
"11/30","ì˙","7","8","0","0","15","12","125%","9,465","116,268","0","125,733","122,500","112.91%","8,382","15"
"TOTAL","","71","250","0","1","322","350","92%","628,018","2,299,418","289,340","3,216,776","3,675,000","87.53%","9,990","308"
