"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"12/01","日","5","9","0","0","14","13","107.69%","19,300","0","128,359","147,659","135,483","119.89%","10,547","14"
"12/02","月","0","8","0","1","9","13","69.23%","14,400","0","83,042","97,442","135,483","79.12%","10,827","8"
"12/03","火","3","7","0","0","10","13","76.92%","13,000","0","107,270","120,270","135,483","97.65%","12,027","10"
"12/04","水","2","10","0","0","12","13","92.31%","30,446","0","92,695","123,141","135,483","99.98%","10,262","12"
"12/05","木","2","5","0","0","7","13","53.85%","4,500","0","61,235","65,735","135,484","53.37%","9,391","7"
"12/06","金","4","5","0","0","9","13","69.23%","13,630","0","72,721","86,351","135,484","70.11%","9,595","9"
"12/07","土","6","15","0","0","21","13","161.54%","47,258","0","165,599","212,857","135,484","172.82%","10,136","21"
"12/08","日","4","17","0","0","21","13","161.54%","39,350","0","148,781","188,131","135,484","152.75%","8,959","21"
"12/09","月","3","8","0","0","11","13","84.62%","15,336","0","93,016","108,352","135,484","87.97%","9,850","10"
"12/10","火","3","9","0","0","12","13","92.31%","14,426","0","168,253","182,679","135,484","148.32%","15,223","11"
"12/11","水","3","6","0","0","9","13","69.23%","3,094","0","84,967","88,061","135,484","71.5%","9,785","9"
"12/12","木","0","12","0","0","12","13","92.31%","15,056","0","133,668","148,724","135,484","120.75%","12,394","11"
"12/13","金","3","11","0","0","14","13","107.69%","36,748","0","121,964","158,712","135,484","128.86%","11,337","14"
"12/14","土","7","11","0","0","18","13","138.46%","15,371","0","193,406","208,777","135,484","169.51%","11,599","19"
"12/15","日","1","12","0","0","13","14","92.86%","7,700","0","122,341","130,041","135,484","105.58%","10,003","12"
"12/16","月","4","10","0","0","14","14","100%","12,385","0","141,202","153,587","135,484","124.7%","10,971","13"
"12/17","火","2","7","0","0","9","14","64.29%","13,200","0","65,780","78,980","135,484","64.13%","8,776","9"
"12/18","水","4","10","0","0","14","14","100%","9,978","0","142,791","152,769","135,484","124.04%","10,912","13"
"12/19","木","3","10","0","0","13","14","92.86%","29,665","0","90,622","120,287","135,484","97.66%","9,253","13"
"12/20","金","6","9","0","0","15","14","107.14%","35,690","0","121,006","156,696","135,484","127.23%","10,446","15"
"12/21","土","6","14","0","0","20","14","142.86%","43,415","0","152,597","196,012","135,484","159.15%","9,801","20"
"12/22","日","3","18","0","0","21","14","150%","31,347","0","168,420","199,767","135,484","162.2%","9,513","21"
"12/23","月","3","11","0","0","14","14","100%","30,889","0","117,981","148,870","135,484","120.87%","10,634","13"
"12/24","火","2","11","0","1","14","14","100%","3,126","0","206,923","210,049","135,484","170.54%","15,004","11"
"12/25","水","1","8","0","0","9","14","64.29%","7,954","0","77,616","85,570","135,484","69.48%","9,508","8"
"12/26","木","1","9","0","0","10","14","71.43%","30,490","0","100,880","131,370","135,484","106.66%","13,137","10"
"12/27","金","6","14","0","0","20","14","142.86%","23,200","0","177,869","201,069","135,484","163.25%","10,053","19"
"12/28","土","7","17","0","0","24","14","171.43%","30,269","0","195,088","225,357","135,484","182.97%","9,390","24"
"12/29","日","1","14","0","0","15","14","107.14%","24,591","0","167,523","192,114","135,484","155.98%","12,808","15"
"12/30","月","0","12","0","0","12","14","85.71%","33,267","0","116,484","149,751","135,484","121.59%","12,479","11"
"12/31","火","0","0","0","0","0","14","0%","0","0","0","0","135,484","0%","0","0"
"TOTAL","","95","319","0","2","416","420","99.05%","649,081","0","3,820,099","4,469,180","4,200,000","106.41%","10,743","403"
