"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"11/01","火","5","4","0","0","9","10","90%","1,000","0","72,652","73,652","106,666","75.96%","8,184","8"
"11/02","水","4","9","0","0","13","10","130%","61,588","0","60,600","122,188","106,666","126.01%","9,399","13"
"11/03","木","5","9","0","0","14","10","140%","22,483","0","130,722","153,205","106,666","158%","10,943","14"
"11/04","金","4","4","0","0","8","10","80%","19,627","0","49,853","69,480","106,666","71.65%","8,685","7"
"11/05","土","13","9","0","0","22","10","220%","48,063","0","99,887","147,950","106,666","152.58%","6,725","22"
"11/06","日","7","7","0","0","14","10","140%","27,648","0","74,101","101,749","106,666","104.94%","7,268","13"
"11/07","月","1","4","0","0","5","10","50%","6,000","0","36,316","42,316","106,666","43.64%","8,463","4"
"11/08","火","4","4","0","0","8","10","80%","10,300","0","56,197","66,497","106,666","68.58%","8,312","8"
"11/09","水","0","4","0","0","4","10","40%","4,500","0","29,999","34,499","106,666","35.58%","8,625","4"
"11/10","木","2","4","0","0","6","10","60%","8,843","0","39,318","48,161","106,666","49.67%","8,027","6"
"11/11","金","3","5","0","0","8","11","72.73%","31,664","0","43,970","75,634","106,667","78%","9,454","8"
"11/12","土","4","9","0","0","13","11","118.18%","21,713","0","91,411","113,124","106,667","116.66%","8,702","13"
"11/13","日","7","3","0","0","10","11","90.91%","18,309","0","52,953","71,262","106,667","73.49%","7,126","10"
"11/14","月","3","3","0","0","6","11","54.55%","20,686","0","34,013","54,699","106,667","56.41%","9,117","5"
"11/15","火","2","8","0","0","10","11","90.91%","39,709","0","51,715","91,424","106,667","94.28%","9,142","10"
"11/16","水","6","3","0","0","9","11","81.82%","27,545","0","38,344","65,889","106,667","67.95%","7,321","9"
"11/17","木","4","6","0","0","10","11","90.91%","34,125","0","67,673","101,798","106,667","104.98%","10,180","10"
"11/18","金","1","4","0","0","5","11","45.45%","6,500","0","33,799","40,299","106,667","41.56%","8,060","5"
"11/19","土","5","11","0","0","16","11","145.45%","34,669","0","89,681","124,350","106,667","128.24%","7,772","15"
"11/20","日","6","3","0","0","9","11","81.82%","22,572","0","44,272","66,844","106,667","68.93%","7,427","10"
"11/21","月","4","9","0","0","13","11","118.18%","26,788","0","81,745","108,533","106,667","111.93%","8,349","11"
"11/22","火","5","4","0","0","9","11","81.82%","22,444","0","80,490","102,934","106,667","106.15%","11,437","8"
"11/23","水","5","8","0","0","13","11","118.18%","14,893","0","105,303","120,196","106,667","123.96%","9,246","13"
"11/24","木","1","2","0","0","3","11","27.27%","10,948","0","28,977","39,925","106,667","41.17%","13,308","3"
"11/25","金","5","6","0","0","11","11","100%","58,290","0","82,642","140,932","106,667","145.34%","12,812","11"
"11/26","土","5","9","0","0","14","11","127.27%","47,700","0","108,332","156,032","106,667","160.91%","11,145","14"
"11/27","日","7","3","0","0","10","11","90.91%","15,600","0","42,526","58,126","106,667","59.94%","5,813","9"
"11/28","月","2","7","0","0","9","11","81.82%","13,138","0","63,495","76,633","106,667","79.03%","8,515","9"
"11/29","火","4","4","0","0","8","11","72.73%","23,082","0","33,944","57,026","106,667","58.81%","7,128","8"
"11/30","水","1","7","0","0","8","11","72.73%","16,945","0","33,771","50,716","106,667","52.3%","6,340","6"
"TOTAL","","125","172","0","0","297","320","92.81%","717,372","0","1,858,701","2,576,073","3,200,000","80.5%","8,674","286"
