"日付","曜日","新規","リピート","紹介","指名","客数","客数 目標","客数 達成率","グランドメニュー売上","クーポン売上","その他売上","合計売上","売上 目標","売上 達成率","客単価","次月予約数"
"08/01","土","18","8","0","6","26","0","0%","127486","0","12183","139669","0","0%","5371","0"
"08/02","日","12","7","0","4","19","0","0%","91957","0","7614","99571","0","0%","5240","0"
"08/03","月","4","6","0","5","10","0","0%","64760","0","2481","67241","0","0%","6724","0"
"08/04","火","9","4","0","3","13","0","0%","60896","0","8273","69169","0","0%","5320","0"
"08/05","水","12","9","0","6","21","0","0%","94393","0","11550","105943","0","0%","5044","0"
"08/06","木","8","6","0","1","14","0","0%","66650","0","2714","69364","0","0%","4954","0"
"08/07","金","7","8","0","2","15","0","0%","70059","0","8988","79047","0","0%","5269","0"
"08/08","土","11","9","0","3","20","0","0%","96944","0","4645","101589","0","0%","5079","0"
"08/09","日","14","9","0","4","23","0","0%","104279","0","6723","111002","0","0%","4826","0"
"08/10","月","16","7","0","5","23","0","0%","111692","0","15007","126699","0","0%","5508","0"
"08/11","火","6","8","0","3","14","0","0%","66931","0","3537","70468","0","0%","5033","0"
"08/12","水","6","7","0","1","13","0","0%","64009","0","3300","67309","0","0%","5177","0"
"08/13","木","4","8","0","4","12","0","0%","61533","0","2873","64406","0","0%","5367","0"
"08/14","金","8","5","0","2","13","0","0%","68923","0","4464","73387","0","0%","5645","0"
"08/15","土","12","7","0","5","19","0","0%","89917","0","11224","101141","0","0%","5323","0"
"08/16","日","11","18","0","8","29","0","0%","146353","0","15065","161418","0","0%","5566","0"
"08/17","月","8","5","0","0","13","0","0%","58497","0","7255","65752","0","0%","5057","0"
"08/18","火","9","5","0","2","14","0","0%","59559","0","7310","66869","0","0%","4776","0"
"08/19","水","7","8","0","4","15","0","0%","68131","0","4491","72622","0","0%","4841","0"
"08/20","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/21","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/22","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/23","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/24","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/25","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/26","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/27","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/28","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/29","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/30","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"08/31","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","182","144","0","68","326","0","0%","1572969","0","139697","1712666","0","0%","5253","0"
