"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"04/01","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/02","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/03","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/04","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/05","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/06","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/07","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/08","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/09","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/10","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/11","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/12","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/13","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/14","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/15","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/16","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/17","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/18","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/19","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/20","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/21","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/22","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/23","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/24","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/25","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/26","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/27","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/28","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/29","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"04/30","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
