"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"03/01","日","5","12","0","0","17","11","154.55%","40,716","122,708","20,463","183,887","125,322","161.41%","10,817","17"
"03/02","月","0","7","0","0","7","11","63.64%","1,500","69,651","3,800","74,951","125,322","65.79%","10,707","6"
"03/03","火","0","2","0","0","2","12","16.67%","7,500","37,690","0","45,190","125,322","39.67%","22,595","2"
"03/04","水","1","10","0","0","11","12","91.67%","52,130","84,613","29,490","166,233","125,322","145.91%","15,112","11"
"03/05","木","4","5","0","0","9","12","75%","5,000","80,780","0","85,780","125,322","75.29%","9,531","9"
"03/06","金","2","4","0","0","6","12","50%","17,952","60,836","6,066","84,854","125,322","74.48%","14,142","6"
"03/07","土","4","17","0","0","21","12","175%","12,872","156,759","8,300","177,931","125,322","156.18%","8,473","20"
"03/08","日","1","19","0","0","20","12","166.67%","31,127","127,118","6,722","164,967","125,322","144.8%","8,248","19"
"03/09","月","2","11","0","0","13","12","108.33%","21,577","86,329","21,363","129,269","125,322","113.47%","9,944","12"
"03/10","火","4","4","0","0","8","12","66.67%","47,521","40,799","18,042","106,362","125,322","93.36%","13,295","8"
"03/11","水","2","3","0","0","5","12","41.67%","7,983","33,598","0","41,581","125,322","36.5%","8,316","5"
"03/12","木","0","7","0","0","7","12","58.33%","11,077","83,056","3,800","97,933","125,322","85.96%","13,990","7"
"03/13","金","1","13","0","0","14","12","116.67%","7,888","129,507","0","137,395","125,322","120.6%","9,814","14"
"03/14","土","3","17","0","0","20","12","166.67%","45,787","169,719","11,471","226,977","125,323","199.23%","11,349","19"
"03/15","日","3","14","0","0","17","12","141.67%","30,389","114,760","16,037","161,186","125,323","141.48%","9,482","17"
"03/16","月","0","6","0","0","6","12","50%","7,420","59,339","9,121","75,880","125,323","66.6%","12,647","6"
"03/17","火","2","11","0","0","13","12","108.33%","20,867","79,753","37,386","138,006","125,323","121.13%","10,616","11"
"03/18","水","2","9","0","0","11","12","91.67%","10,985","112,102","10,837","133,924","125,323","117.55%","12,175","11"
"03/19","木","3","6","0","0","9","12","75%","15,384","77,613","0","92,997","125,323","81.63%","10,333","9"
"03/20","金","3","10","0","0","13","12","108.33%","25,900","98,868","3,800","128,568","125,323","112.85%","9,890","13"
"03/21","土","5","13","0","0","18","12","150%","21,948","159,321","17,600","198,869","125,323","174.56%","11,048","18"
"03/22","日","4","14","0","0","18","12","150%","35,700","111,584","0","147,284","125,323","129.28%","8,182","18"
"03/23","月","3","3","0","0","6","12","50%","8,500","63,109","0","71,609","125,323","62.85%","11,935","6"
"03/24","火","2","8","0","0","10","12","83.33%","29,500","85,744","0","115,244","125,323","101.15%","11,524","10"
"03/25","水","2","11","0","0","13","12","108.33%","30,419","102,551","7,198","140,168","125,323","123.03%","10,782","13"
"03/26","木","4","9","0","1","14","12","116.67%","15,643","96,115","32,966","144,724","125,323","127.03%","10,337","12"
"03/27","金","2","9","0","0","11","12","91.67%","19,854","100,188","0","120,042","125,323","105.37%","10,913","11"
"03/28","土","1","18","0","1","20","12","166.67%","40,258","140,848","17,061","198,167","125,323","173.94%","9,908","19"
"03/29","日","3","9","0","0","12","12","100%","28,061","105,308","3,609","136,978","125,323","120.23%","11,415","12"
"03/30","月","3","6","0","0","9","12","75%","23,018","55,434","0","78,452","125,323","68.86%","8,717","9"
"03/31","火","4","4","0","0","8","12","66.67%","8,974","54,741","5,019","68,734","125,323","60.33%","8,592","8"
"TOTAL","","75","291","0","2","368","370","99.46%","683,450","2,900,541","290,151","3,874,142","3,885,000","99.72%","10,528","358"
