"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"06/01","月","3","8","0","0","11","12","91.67%","42,090","87,517","3,800","133,407","133,393","110.01%","12,128","11"
"06/02","火","2","7","0","1","10","12","83.33%","36,948","61,640","32,156","130,744","133,393","107.82%","13,074","9"
"06/03","水","0","6","0","0","6","12","50%","5,806","50,374","6,863","63,043","133,393","51.99%","10,507","5"
"06/04","木","3","6","0","0","9","12","75%","24,600","52,617","7,500","84,717","133,393","69.86%","9,413","9"
"06/05","金","4","5","0","0","9","12","75%","26,989","43,882","0","70,871","133,393","58.44%","7,875","9"
"06/06","土","2","19","0","0","21","12","175%","48,487","155,423","9,129","213,039","133,393","175.68%","10,145","21"
"06/07","日","1","13","0","0","14","12","116.67%","23,008","99,028","751","122,787","133,393","101.26%","8,771","14"
"06/08","月","1","4","0","0","5","12","41.67%","4,520","33,978","9,446","47,944","133,393","39.54%","9,589","5"
"06/09","火","3","10","0","0","13","12","108.33%","66,817","115,519","13,041","195,377","133,393","161.12%","15,029","13"
"06/10","水","2","9","0","0","11","12","91.67%","17,978","97,766","0","115,744","133,393","95.45%","10,522","11"
"06/11","木","0","6","0","0","6","12","50%","7,926","84,290","18,600","110,816","133,393","91.38%","18,469","5"
"06/12","金","3","9","0","1","13","12","108.33%","10,956","126,255","45,003","182,214","133,393","150.26%","14,016","12"
"06/13","土","1","16","0","0","17","12","141.67%","58,961","148,906","10,200","218,067","133,393","179.83%","12,827","16"
"06/14","日","0","11","0","0","11","12","91.67%","11,037","151,905","20,162","183,104","133,393","151%","16,646","11"
"06/15","月","1","6","0","0","7","12","58.33%","14,854","90,353","14,000","119,207","133,393","98.3%","17,030","7"
"06/16","火","3","6","0","0","9","12","75%","7,500","65,343","12,900","85,743","133,393","70.71%","9,527","8"
"06/17","水","1","10","0","0","11","13","84.62%","31,013","144,119","4,500","179,632","133,393","148.13%","16,330","12"
"06/18","木","0","9","0","0","9","13","69.23%","42,561","88,534","4,849","135,944","133,393","112.1%","15,105","9"
"06/19","金","1","6","0","0","7","13","53.85%","9,473","78,343","0","87,816","133,393","72.42%","12,545","7"
"06/20","土","2","16","0","0","18","13","138.46%","46,565","164,448","11,700","222,713","133,393","183.66%","12,373","18"
"06/21","日","1","11","0","0","12","13","92.31%","4,300","129,722","17,000","151,022","133,394","124.54%","12,585","12"
"06/22","月","6","4","0","0","10","13","76.92%","5,781","58,145","0","63,926","133,394","52.72%","6,393","11"
"06/23","火","0","10","0","0","10","13","76.92%","48,329","91,540","6,518","146,387","133,394","120.72%","14,639","10"
"06/24","水","2","8","0","0","10","13","76.92%","31,854","55,762","0","87,616","133,394","72.25%","8,762","10"
"06/25","木","3","11","0","0","14","13","107.69%","48,586","123,303","12,800","184,689","133,394","152.3%","13,192","14"
"06/26","金","0","0","0","0","0","13","0%","0","0","0","0","133,394","0%","0","15"
"06/27","土","0","0","0","0","0","13","0%","0","0","0","0","133,394","0%","0","13"
"06/28","日","0","0","0","0","0","13","0%","0","0","0","0","133,394","0%","0","13"
"06/29","月","0","0","0","0","0","13","0%","0","0","0","0","133,394","0%","0","6"
"06/30","火","0","0","0","0","0","13","0%","0","0","0","0","133,394","0%","0","6"
"TOTAL","","45","226","0","2","273","374","72.99%","676,939","2,398,712","260,918","3,336,569","4,001,800","83.38%","12,222","322"
