"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"06/01","水","5","3","0","0","8","9","88.89%","32,499","0","43,125","75,624","99,000","84.03%","9,453","8"
"06/02","木","4","1","0","0","5","9","55.56%","10,000","0","48,162","58,162","99,000","64.63%","11,632","5"
"06/03","金","4","2","0","0","6","9","66.67%","12,000","0","32,653","44,653","99,000","49.62%","7,442","5"
"06/04","土","4","3","0","0","7","10","70%","32,300","0","33,199","65,499","99,000","72.78%","9,357","7"
"06/05","日","5","1","0","0","6","10","60%","14,835","0","33,344","48,179","99,000","53.54%","8,030","6"
"06/06","月","2","2","0","0","4","10","40%","5,909","0","33,536","39,445","99,000","43.83%","9,861","4"
"06/07","火","3","6","0","0","9","10","90%","44,801","0","31,308","76,109","99,000","84.57%","8,457","8"
"06/08","水","3","1","0","0","4","10","40%","500","0","45,144","45,644","99,000","50.72%","11,411","4"
"06/09","木","1","1","0","1","3","10","30%","11,200","0","10,963","22,163","99,000","24.63%","7,388","3"
"06/10","金","3","2","0","0","5","10","50%","11,363","0","25,754","37,117","99,000","41.24%","7,423","4"
"06/11","土","3","8","0","0","11","10","110%","20,411","0","87,731","108,142","99,000","120.16%","9,831","10"
"06/12","日","3","3","0","0","6","10","60%","19,409","0","30,835","50,244","99,000","55.83%","8,374","6"
"06/13","月","1","2","0","0","3","10","30%","30,552","0","22,919","53,471","99,000","59.41%","17,824","3"
"06/14","火","2","7","0","0","9","10","90%","25,563","0","49,099","74,662","99,000","82.96%","8,296","9"
"06/15","水","2","2","0","0","4","10","40%","21,091","0","11,109","32,200","99,000","35.78%","8,050","5"
"06/16","木","2","0","0","0","2","10","20%","0","0","17,835","17,835","99,000","19.82%","8,918","2"
"06/17","金","3","3","0","0","6","10","60%","9,272","0","48,961","58,233","99,000","64.71%","9,706","6"
"06/18","土","8","2","0","0","10","10","100%","30,627","0","53,944","84,571","99,000","93.97%","8,457","10"
"06/19","日","2","3","0","0","5","10","50%","16,500","0","32,799","49,299","99,000","54.78%","9,860","5"
"06/20","月","3","2","0","0","5","10","50%","26,436","0","36,154","62,590","99,000","69.55%","12,518","5"
"06/21","火","2","6","0","0","8","10","80%","23,400","0","71,153","94,553","99,000","105.06%","11,819","8"
"06/22","水","3","1","0","0","4","10","40%","16,630","0","37,332","53,962","99,000","59.96%","13,491","4"
"06/23","木","2","2","0","1","5","10","50%","12,817","0","20,445","33,262","99,000","36.96%","6,652","3"
"06/24","金","3","6","0","0","9","10","90%","17,272","0","60,252","77,524","99,000","86.14%","8,614","7"
"06/25","土","2","8","0","0","10","10","100%","44,280","0","54,564","98,844","99,000","109.83%","9,884","10"
"06/26","日","4","2","0","0","6","10","60%","4,500","0","55,717","60,217","99,000","66.91%","10,036","6"
"06/27","月","1","3","0","0","4","10","40%","7,363","0","33,563","40,926","99,000","45.47%","10,232","4"
"06/28","火","2","2","0","0","4","10","40%","22,554","0","26,181","48,735","99,000","54.15%","12,184","4"
"06/29","水","6","2","0","0","8","10","80%","24,200","0","48,289","72,489","99,000","80.55%","9,061","8"
"06/30","木","1","1","0","0","2","10","20%","0","0","19,654","19,654","99,000","21.84%","9,827","2"
"TOTAL","","89","87","0","2","178","297","59.93%","548,284","0","1,155,724","1,704,008","2,970,000","57.37%","9,573","171"
