"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"04/01","水","4","8","0","0","12","0","0%","62,500","0","15,550","78,050","0","0%","6,504","12"
"04/02","木","3","24","0","0","27","0","0%","81,527","0","129,180","210,707","0","0%","7,804","29"
"04/03","金","2","24","0","0","26","0","0%","88,300","0","110,126","198,426","0","0%","7,632","26"
"04/04","土","10","11","0","0","21","0","0%","70,500","0","102,200","172,700","0","0%","8,224","22"
"04/05","日","2","4","0","0","6","0","0%","0","0","27,427","27,427","0","0%","4,571","6"
"04/06","月","18","17","0","0","35","0","0%","100,591","0","146,235","246,826","0","0%","7,052","36"
"04/07","火","12","16","0","2","30","0","0%","64,000","0","148,838","212,838","0","0%","7,095","29"
"04/08","水","6","21","0","0","27","0","0%","92,000","0","131,098","223,098","0","0%","8,263","29"
"04/09","木","7","11","0","0","18","0","0%","60,409","0","90,700","151,109","0","0%","8,395","19"
"04/10","金","7","10","0","0","17","0","0%","60,500","0","75,498","135,998","0","0%","8,000","18"
"04/11","土","14","16","0","0","30","0","0%","64,000","0","163,253","227,253","0","0%","7,575","31"
"04/12","日","8","16","0","0","24","0","0%","82,500","0","116,216","198,716","0","0%","8,280","24"
"04/13","月","8","18","0","0","26","0","0%","48,000","0","137,871","185,871","0","0%","7,149","28"
"04/14","火","11","15","0","1","27","0","0%","65,545","0","119,159","184,704","0","0%","6,841","26"
"04/15","水","2","6","0","0","8","0","0%","1,000","0","49,900","50,900","0","0%","6,363","8"
"04/16","木","3","3","0","0","6","0","0%","10,000","0","33,400","43,400","0","0%","7,233","6"
"04/17","金","5","9","0","1","15","0","0%","44,000","0","65,500","109,500","0","0%","7,300","14"
"04/18","土","7","19","0","0","26","0","0%","63,500","0","124,572","188,072","0","0%","7,234","27"
"04/19","日","4","9","0","0","13","0","0%","50,000","0","60,772","110,772","0","0%","8,521","14"
"04/20","月","10","22","0","0","32","0","0%","36,500","0","211,105","247,605","0","0%","7,738","35"
"04/21","火","6","15","0","0","21","0","0%","49,500","0","108,189","157,689","0","0%","7,509","21"
"04/22","水","8","8","0","0","16","0","0%","2,500","0","129,026","131,526","0","0%","8,220","17"
"04/23","木","11","18","0","0","29","0","0%","72,909","0","142,169","215,078","0","0%","7,416","30"
"04/24","金","12","16","0","3","31","0","0%","80,000","0","130,653","210,653","0","0%","6,795","30"
"04/25","土","8","13","0","0","21","0","0%","62,090","0","72,026","134,116","0","0%","6,386","20"
"04/26","日","6","7","0","0","13","0","0%","1,000","0","97,789","98,789","0","0%","7,599","13"
"04/27","月","5","13","0","0","18","0","0%","1,500","0","115,153","116,653","0","0%","6,481","19"
"04/28","火","16","14","0","0","30","0","0%","75,500","0","161,188","236,688","0","0%","7,890","31"
"04/29","水","11","16","0","0","27","0","0%","90,000","0","136,580","226,580","0","0%","8,392","29"
"04/30","木","8","17","0","0","25","0","0%","45,000","0","163,169","208,169","0","0%","8,327","26"
"TOTAL","","234","416","0","7","657","0","0%","1,625,371","0","3,314,542","4,939,913","0","0%","7,519","675"
