"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"11/01","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/02","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/03","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/04","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/05","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/06","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/07","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/08","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/09","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/10","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/11","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/12","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/13","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/14","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/15","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/16","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/17","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/18","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/19","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/20","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/21","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/22","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/23","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/24","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/25","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/26","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/27","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/28","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/29","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"11/30","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
