"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"02/01","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/02","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/03","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/04","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/05","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/06","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/07","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/08","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/09","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/10","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/11","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/12","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/13","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/14","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/15","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/16","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/17","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/18","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/19","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/20","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/21","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/22","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/23","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/24","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/25","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/26","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/27","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/28","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
