"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"10/01","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/02","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/03","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/04","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/05","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/06","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/07","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/08","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/09","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/10","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/11","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/12","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/13","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/14","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/15","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/16","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/17","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/18","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/19","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/20","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/21","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/22","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/23","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/24","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/25","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/26","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/27","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/28","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/29","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/30","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"10/31","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
