"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"03/01","ìy","6","15","0","0","21","13","161.54%","21,608","0","220,331","241,939","135,561","196.32%","11,521","20"
"03/02","ì˙","4","9","0","0","13","13","100%","33,900","0","97,006","130,906","135,561","106.23%","10,070","12"
"03/03","åé","2","9","0","0","11","13","84.62%","4,000","0","109,241","113,241","135,561","91.89%","10,295","10"
"03/04","âŒ","2","11","0","0","13","13","100%","9,052","0","121,169","130,221","135,561","105.67%","10,017","13"
"03/05","êÖ","1","8","0","0","9","13","69.23%","1,800","0","91,106","92,906","135,561","75.39%","10,323","9"
"03/06","ñÿ","3","3","0","0","6","13","46.15%","7,300","0","72,125","79,425","135,561","64.45%","13,238","6"
"03/07","ã‡","1","8","0","0","9","13","69.23%","12,997","0","105,800","118,797","135,561","96.4%","13,200","9"
"03/08","ìy","2","17","0","0","19","13","146.15%","26,563","0","191,902","218,465","135,561","177.28%","11,498","19"
"03/09","ì˙","2","13","0","0","15","13","115.38%","44,247","0","108,376","152,623","135,561","123.85%","10,175","15"
"03/10","åé","3","9","0","0","12","13","92.31%","13,091","0","95,459","108,550","135,561","88.09%","9,046","12"
"03/11","âŒ","0","8","0","0","8","13","61.54%","11,700","0","70,472","82,172","135,561","66.68%","10,272","8"
"03/12","êÖ","0","11","0","0","11","13","84.62%","6,390","0","115,588","121,978","135,561","98.98%","11,089","11"
"03/13","ñÿ","2","6","0","0","8","13","61.54%","43,476","0","78,012","121,488","135,561","98.58%","15,186","8"
"03/14","ã‡","3","9","0","0","12","13","92.31%","21,397","0","112,899","134,296","135,561","108.98%","11,191","12"
"03/15","ìy","1","22","0","0","23","13","176.92%","71,379","0","185,621","257,000","135,561","208.55%","11,174","22"
"03/16","ì˙","3","17","0","0","20","13","153.85%","18,613","0","157,528","176,141","135,561","142.93%","8,807","20"
"03/17","åé","2","8","0","0","10","13","76.92%","3,464","0","125,996","129,460","135,561","105.05%","12,946","9"
"03/18","âŒ","2","11","0","0","13","13","100%","33,845","0","93,752","127,597","135,561","103.54%","9,815","12"
"03/19","êÖ","3","12","0","0","15","13","115.38%","36,827","0","143,568","180,395","135,561","146.38%","12,026","14"
"03/20","ñÿ","1","9","0","0","10","13","76.92%","18,200","0","100,214","118,414","135,561","96.09%","11,841","10"
"03/21","ã‡","3","8","0","0","11","13","84.62%","14,000","0","84,344","98,344","135,561","79.8%","8,940","12"
"03/22","ìy","4","18","0","0","22","13","169.23%","29,566","0","156,865","186,431","135,561","151.28%","8,474","22"
"03/23","ì˙","3","14","0","0","17","13","130.77%","28,400","0","123,968","152,368","135,562","123.64%","8,963","16"
"03/24","åé","1","6","0","0","7","13","53.85%","29,300","0","49,590","78,890","135,562","64.01%","11,270","6"
"03/25","âŒ","4","7","0","0","11","13","84.62%","6,084","0","114,205","120,289","135,562","97.61%","10,935","11"
"03/26","êÖ","2","12","0","0","14","13","107.69%","11,033","0","122,610","133,643","135,562","108.44%","9,546","13"
"03/27","ñÿ","5","12","0","0","17","14","121.43%","18,966","0","156,938","175,904","135,562","142.74%","10,347","17"
"03/28","ã‡","2","6","0","0","8","14","57.14%","8,500","0","87,487","95,987","135,562","77.89%","11,998","8"
"03/29","ìy","2","13","0","0","15","14","107.14%","44,514","36,290","104,583","185,387","135,562","150.43%","12,359","14"
"03/30","ì˙","3","17","0","0","20","14","142.86%","70,005","109,100","4,200","183,305","135,562","148.74%","9,165","20"
"03/31","åé","4","7","0","0","11","14","78.57%","23,129","87,877","1,863","112,869","135,562","91.59%","10,261","11"
"TOTAL","","76","335","0","0","411","408","100.74%","723,346","233,267","3,402,818","4,359,431","4,202,400","103.74%","10,607","401"
