"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"05/01","ã‡","1","8","0","1","10","12","83.33%","27,473","88,070","42,681","158,224","138,064","126.06%","15,822","10"
"05/02","ìy","2","18","0","0","20","12","166.67%","48,413","168,973","28,389","245,775","138,064","195.82%","12,289","19"
"05/03","ì˙","2","13","0","0","15","12","125%","23,061","132,979","4,000","160,040","138,064","127.51%","10,669","15"
"05/04","åé","2","6","0","0","8","13","61.54%","8,075","97,059","23,286","128,420","138,064","102.32%","16,053","8"
"05/05","âŒ","2","9","0","0","11","13","84.62%","2,300","78,924","6,008","87,232","138,064","69.5%","7,930","10"
"05/06","êÖ","0","10","0","0","10","13","76.92%","7,500","96,633","7,300","111,433","138,064","88.78%","11,143","10"
"05/07","ñÿ","2","5","0","0","7","13","53.85%","27,458","44,659","0","72,117","138,064","57.46%","10,302","7"
"05/08","ã‡","4","7","0","0","11","13","84.62%","23,241","96,615","5,541","125,397","138,064","99.91%","11,400","11"
"05/09","ìy","2","16","0","0","18","13","138.46%","25,814","136,252","1,655","163,721","138,064","130.45%","9,096","18"
"05/10","ì˙","3","8","0","0","11","13","84.62%","13,171","94,597","0","107,768","138,064","85.87%","9,797","11"
"05/11","åé","2","8","0","2","12","13","92.31%","5,451","108,297","37,657","151,405","138,064","120.63%","12,617","9"
"05/12","âŒ","0","10","0","0","10","13","76.92%","13,929","118,054","7,550","139,533","138,064","111.17%","13,953","10"
"05/13","êÖ","1","10","0","0","11","13","84.62%","5,395","120,392","2,009","127,796","138,064","101.82%","11,618","10"
"05/14","ñÿ","0","10","0","0","10","13","76.92%","17,480","88,794","5,268","111,542","138,064","88.87%","11,154","10"
"05/15","ã‡","0","8","0","0","8","13","61.54%","2,465","109,759","0","112,224","138,064","89.42%","14,028","8"
"05/16","ìy","3","15","0","0","18","13","138.46%","22,953","180,774","5,287","209,014","138,065","166.53%","11,612","18"
"05/17","ì˙","3","13","0","0","16","13","123.08%","13,933","114,980","0","128,913","138,065","102.71%","8,057","16"
"05/18","åé","3","5","0","0","8","13","61.54%","12,918","62,616","0","75,534","138,065","60.18%","9,442","8"
"05/19","âŒ","2","5","0","2","9","13","69.23%","20,548","39,978","44,427","104,953","138,065","83.62%","11,661","7"
"05/20","êÖ","1","6","0","0","7","13","53.85%","18,168","22,775","0","40,943","138,065","32.62%","5,849","7"
"05/21","ñÿ","0","6","0","0","6","13","46.15%","24,459","49,630","0","74,089","138,065","59.03%","12,348","6"
"05/22","ã‡","1","4","0","0","5","13","38.46%","1,485","61,111","7,858","70,454","138,065","56.13%","14,091","5"
"05/23","ìy","4","16","0","1","21","13","161.54%","41,064","128,950","31,370","201,384","138,065","160.45%","9,590","20"
"05/24","ì˙","2","13","0","0","15","13","115.38%","55,284","118,206","4,243","177,733","138,065","141.61%","11,849","14"
"05/25","åé","2","9","0","0","11","13","84.62%","43,322","84,076","8,691","136,089","138,065","108.43%","12,372","11"
"05/26","âŒ","1","10","0","0","11","13","84.62%","69,384","50,814","9,800","129,998","138,065","103.57%","11,818","10"
"05/27","êÖ","3","3","0","0","6","13","46.15%","22,000","43,363","0","65,363","138,065","52.08%","10,894","6"
"05/28","ñÿ","3","5","0","0","8","13","61.54%","15,643","51,446","0","67,089","138,065","53.45%","8,386","8"
"05/29","ã‡","2","10","0","0","12","13","92.31%","35,504","88,228","5,366","129,098","138,065","102.86%","10,758","12"
"05/30","ìy","0","0","0","0","0","13","0%","0","0","0","0","138,065","0%","0","16"
"05/31","ì˙","0","0","0","0","0","13","0%","0","0","0","0","138,065","0%","0","12"
"TOTAL","","53","266","0","6","325","400","81.25%","647,891","2,677,004","288,386","3,613,281","4,280,000","84.42%","11,118","342"
