"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"02/01","水","0","3","0","0","3","0","0%","11,000","0","19,763","30,763","0","0%","10,254","3"
"02/02","木","3","1","0","0","4","0","0%","300","0","26,562","26,862","0","0%","6,716","4"
"02/03","金","0","4","0","0","4","0","0%","5,500","0","48,316","53,816","0","0%","13,454","4"
"02/04","土","4","4","0","0","8","0","0%","19,348","0","40,667","60,015","0","0%","7,502","8"
"02/05","日","1","4","0","0","5","0","0%","900","0","44,597","45,497","0","0%","9,099","5"
"02/06","月","1","6","0","0","7","0","0%","7,995","0","54,085","62,080","0","0%","8,869","7"
"02/07","火","3","6","0","0","9","0","0%","16,181","0","54,436","70,617","0","0%","7,846","8"
"02/08","水","4","4","0","0","8","0","0%","6,354","0","70,343","76,697","0","0%","9,587","8"
"02/09","木","1","6","0","0","7","0","0%","15,360","0","47,584","62,944","0","0%","8,992","7"
"02/10","金","7","2","0","1","10","0","0%","12,984","0","54,331","67,315","0","0%","6,732","8"
"02/11","土","0","11","0","0","11","0","0%","13,075","0","86,148","99,223","0","0%","9,020","11"
"02/12","日","0","3","0","0","3","0","0%","16,500","0","27,036","43,536","0","0%","14,512","3"
"02/13","月","0","4","0","0","4","0","0%","1,492","0","34,515","36,007","0","0%","9,002","4"
"02/14","火","0","10","0","0","10","0","0%","8,799","0","61,979","70,778","0","0%","7,078","7"
"02/15","水","5","3","0","0","8","0","0%","11,300","0","57,580","68,880","0","0%","8,610","8"
"02/16","木","3","5","0","0","8","0","0%","6,386","0","79,439","85,825","0","0%","10,728","8"
"02/17","金","1","8","0","0","9","0","0%","12,341","0","75,589","87,930","0","0%","9,770","9"
"02/18","土","3","7","0","0","10","0","0%","18,995","0","65,820","84,815","0","0%","8,482","10"
"02/19","日","1","4","0","0","5","0","0%","12,700","0","34,899","47,599","0","0%","9,520","5"
"02/20","月","0","4","0","0","4","0","0%","23,155","0","37,199","60,354","0","0%","15,089","3"
"02/21","火","1","5","0","0","6","0","0%","16,563","0","78,036","94,599","0","0%","15,767","3"
"02/22","水","3","3","0","0","6","0","0%","33,403","0","33,285","66,688","0","0%","11,115","6"
"02/23","木","2","7","0","0","9","0","0%","14,510","0","62,314","76,824","0","0%","8,536","9"
"02/24","金","2","5","0","0","7","0","0%","12,962","0","72,054","85,016","0","0%","12,145","7"
"02/25","土","4","9","0","0","13","0","0%","35,963","0","58,587","94,550","0","0%","7,273","10"
"02/26","日","2","4","0","0","6","0","0%","5,508","0","31,272","36,780","0","0%","6,130","6"
"02/27","月","2","5","0","0","7","0","0%","11,861","0","45,565","57,426","0","0%","8,204","7"
"02/28","火","5","4","0","0","9","0","0%","6,255","0","70,660","76,915","0","0%","8,546","9"
"TOTAL","","58","141","0","1","200","0","0%","357,690","0","1,472,661","1,830,351","0","0%","9,152","187"
