"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"03/01","ã‡","2","9","0","0","11","13","84.62%","3,971","0","131,881","135,852","130,645","114.39%","12,350","11"
"03/02","ìy","6","11","0","0","17","13","130.77%","31,665","0","140,421","172,086","130,645","144.9%","10,123","14"
"03/03","ì˙","3","11","0","0","14","13","107.69%","24,300","0","109,069","133,369","130,645","112.3%","9,526","14"
"03/04","åé","3","6","0","0","9","13","69.23%","3,000","0","77,116","80,116","130,645","67.46%","8,902","8"
"03/05","âŒ","2","9","0","0","11","13","84.62%","23,400","0","67,062","90,462","130,645","76.17%","8,224","11"
"03/06","êÖ","6","8","0","0","14","13","107.69%","21,800","0","89,861","111,661","130,645","94.02%","7,976","13"
"03/07","ñÿ","3","6","0","0","9","13","69.23%","20,490","0","63,207","83,697","130,645","70.47%","9,300","9"
"03/08","ã‡","3","10","0","0","13","13","100%","24,885","0","98,449","123,334","130,645","103.85%","9,487","12"
"03/09","ìy","4","12","0","0","16","13","123.08%","41,988","0","99,572","141,560","130,645","119.19%","8,848","16"
"03/10","ì˙","4","10","0","0","14","13","107.69%","21,427","0","104,560","125,987","130,645","106.08%","8,999","14"
"03/11","åé","2","9","0","0","11","13","84.62%","13,163","0","108,789","121,952","130,645","102.68%","11,087","10"
"03/12","âŒ","2","4","0","0","6","13","46.15%","27,648","0","39,423","67,071","130,645","56.47%","11,179","5"
"03/13","êÖ","3","3","0","0","6","13","46.15%","5,800","0","52,753","58,553","130,645","49.3%","9,759","6"
"03/14","ñÿ","1","12","0","0","13","13","100%","25,776","0","106,602","132,378","130,645","111.46%","10,183","11"
"03/15","ã‡","4","6","0","0","10","13","76.92%","11,089","0","82,545","93,634","130,645","78.84%","9,363","9"
"03/16","ìy","5","14","0","0","19","13","146.15%","60,391","0","133,359","193,750","130,645","163.14%","10,197","19"
"03/17","ì˙","6","11","0","1","18","13","138.46%","50,554","0","103,017","153,571","130,645","129.3%","8,532","16"
"03/18","åé","5","9","0","0","14","13","107.69%","29,244","0","89,261","118,505","130,645","99.78%","8,465","14"
"03/19","âŒ","3","3","0","0","6","13","46.15%","15,500","0","37,617","53,117","130,645","44.72%","8,853","6"
"03/20","êÖ","3","15","0","1","19","13","146.15%","46,409","0","143,387","189,796","130,645","159.81%","9,989","17"
"03/21","ñÿ","8","11","0","1","20","13","153.85%","37,854","0","87,724","125,578","130,645","105.74%","6,279","17"
"03/22","ã‡","3","4","0","0","7","13","53.85%","5,965","0","76,079","82,044","130,645","69.08%","11,721","7"
"03/23","ìy","2","9","0","0","11","13","84.62%","2,865","0","78,305","81,170","130,645","68.35%","7,379","11"
"03/24","ì˙","4","13","0","0","17","13","130.77%","41,158","0","83,085","124,243","130,645","104.61%","7,308","17"
"03/25","åé","3","5","0","0","8","13","61.54%","18,877","0","71,211","90,088","130,645","75.85%","11,261","7"
"03/26","âŒ","4","4","0","0","8","13","61.54%","33,309","0","41,418","74,727","130,645","62.92%","9,341","8"
"03/27","êÖ","3","9","0","0","12","13","92.31%","22,546","0","80,879","103,425","130,646","87.08%","8,619","11"
"03/28","ñÿ","5","10","0","0","15","13","115.38%","30,866","0","71,857","102,723","130,646","86.49%","6,848","14"
"03/29","ã‡","2","9","0","0","11","13","84.62%","15,000","0","94,525","109,525","130,646","92.22%","9,957","11"
"03/30","ìy","7","13","0","0","20","14","142.86%","56,205","0","123,328","179,533","130,646","151.16%","8,977","20"
"03/31","ì˙","4","9","0","0","13","14","92.86%","11,100","0","106,807","117,907","130,646","99.28%","9,070","13"
"TOTAL","","115","274","0","3","392","405","96.79%","778,245","0","2,793,169","3,571,414","4,050,000","88.18%","9,111","371"
