"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"12/01","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/02","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/03","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/04","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/05","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/06","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/07","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/08","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/09","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/10","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/11","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/12","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/13","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/14","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/15","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/16","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/17","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/18","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/19","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/20","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/21","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/22","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/23","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/24","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/25","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/26","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/27","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/28","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/29","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/30","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/31","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
