"日付","曜日","新規","リピート","紹介","指名","客数","客数 目標","客数 達成率","グランドメニュー売上","クーポン売上","その他売上","合計売上","売上 目標","売上 達成率","客単価","次月予約数"
"07/01","水","8","4","0","3","12","0","0%","58296","0","6605","64901","0","0%","5408","0"
"07/02","木","10","2","0","1","12","0","0%","62018","0","4501","66519","0","0%","5543","0"
"07/03","金","14","0","0","0","14","0","0%","71549","0","4010","75559","0","0%","5397","0"
"07/04","土","10","3","0","2","13","0","0%","55205","0","7327","62532","0","0%","4810","0"
"07/05","日","15","5","0","3","20","0","0%","92548","0","8672","101220","0","0%","5061","0"
"07/06","月","12","2","0","3","14","0","0%","67036","0","3890","70926","0","0%","5066","0"
"07/07","火","4","6","0","3","10","0","0%","46706","0","6450","53156","0","0%","5315","0"
"07/08","水","11","4","0","4","15","0","0%","70914","0","6363","77277","0","0%","5151","0"
"07/09","木","13","7","0","4","20","0","0%","102320","0","6572","108892","0","0%","5444","0"
"07/10","金","9","5","0","5","14","0","0%","61723","0","10809","72532","0","0%","5180","0"
"07/11","土","12","3","0","2","15","0","0%","72163","0","6700","78863","0","0%","5257","0"
"07/12","日","12","5","0","5","17","0","0%","79235","0","3231","82466","0","0%","4850","0"
"07/13","月","6","6","0","2","12","0","0%","54728","0","2650","57378","0","0%","4781","0"
"07/14","火","13","6","0","5","19","0","0%","102329","0","5881","108210","0","0%","5695","0"
"07/15","水","8","5","0","1","13","0","0%","64400","0","4700","69100","0","0%","5315","0"
"07/16","木","12","8","0","8","20","0","0%","99943","0","6081","106024","0","0%","5301","0"
"07/17","金","11","1","0","1","12","0","0%","60628","0","1781","62409","0","0%","5200","0"
"07/18","土","15","5","0","2","20","0","0%","104466","0","6264","110730","0","0%","5536","0"
"07/19","日","17","2","0","4","19","0","0%","92489","0","7292","99781","0","0%","5251","0"
"07/20","月","9","5","0","1","14","0","0%","63391","0","7314","70705","0","0%","5050","0"
"07/21","火","12","4","0","6","16","0","0%","82117","0","6433","88550","0","0%","5534","0"
"07/22","水","12","4","0","2","16","0","0%","70836","0","16031","86867","0","0%","5429","0"
"07/23","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/24","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/25","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/26","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/27","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/28","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/29","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/30","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"07/31","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","245","92","0","67","337","0","0%","1635040","0","139557","1774597","0","0%","5265","0"
