"日付","曜日","新規","リピート","紹介","指名","客数","客数 目標","客数 達成率","グランドメニュー売上","クーポン売上","その他売上","合計売上","売上 目標","売上 達成率","客単価","次月予約数"
"06/01","月","6","0","0","0","6","0","0%","27216","0","2200","29416","0","0%","4902","0"
"06/02","火","6","0","0","0","6","0","0%","27245","0","2665","29910","0","0%","4985","0"
"06/03","水","7","0","0","1","7","0","0%","33008","0","3400","36408","0","0%","5201","0"
"06/04","木","12","0","0","4","12","0","0%","62761","0","2981","65742","0","0%","5478","0"
"06/05","金","13","0","0","1","13","0","0%","60689","0","3845","64534","0","0%","4964","0"
"06/06","土","13","0","0","2","13","0","0%","58958","0","5540","64498","0","0%","4961","0"
"06/07","日","5","1","0","2","6","0","0%","29582","0","-383","29199","0","0%","4866","0"
"06/08","月","5","0","0","0","5","0","0%","19498","0","1150","20648","0","0%","4129","0"
"06/09","火","8","0","0","1","8","0","0%","36785","0","286","37071","0","0%","4633","0"
"06/10","水","11","1","0","1","12","0","0%","56648","0","5474","62122","0","0%","5176","0"
"06/11","木","11","0","0","2","11","0","0%","46911","0","2645","49556","0","0%","4505","0"
"06/12","金","11","1","0","1","12","0","0%","59020","0","8291","67311","0","0%","5609","0"
"06/13","土","19","0","0","6","19","0","0%","89894","0","4940","94834","0","0%","4991","0"
"06/14","日","18","0","0","4","18","0","0%","96243","0","8169","104412","0","0%","5800","0"
"06/15","月","13","0","0","1","13","0","0%","63989","0","6000","69989","0","0%","5383","0"
"06/16","火","12","1","0","3","13","0","0%","66546","0","5500","72046","0","0%","5542","0"
"06/17","水","8","0","0","0","8","0","0%","39553","0","1101","40654","0","0%","5081","0"
"06/18","木","11","0","0","2","11","0","0%","52899","0","5550","58449","0","0%","5313","0"
"06/19","金","13","0","0","4","13","0","0%","57711","0","3641","61352","0","0%","4719","0"
"06/20","土","20","0","0","2","20","0","0%","93070","0","8900","101970","0","0%","5098","0"
"06/21","日","21","0","0","2","21","0","0%","94836","0","9455","104291","0","0%","4966","0"
"06/22","月","9","2","0","4","11","0","0%","50202","0","3376","53578","0","0%","4870","0"
"06/23","火","9","1","0","1","10","0","0%","41179","0","3482","44661","0","0%","4466","0"
"06/24","水","9","1","0","4","10","0","0%","53021","0","3538","56559","0","0%","5655","0"
"06/25","木","10","2","0","1","12","0","0%","54461","0","4350","58811","0","0%","4900","0"
"06/26","金","11","2","0","0","13","0","0%","61033","0","5500","66533","0","0%","5117","0"
"06/27","土","13","1","0","0","14","0","0%","64105","0","5255","69360","0","0%","4954","0"
"06/28","日","14","2","0","1","16","0","0%","69069","0","6305","75374","0","0%","4710","0"
"06/29","月","11","1","0","0","12","0","0%","56778","0","3181","59959","0","0%","4996","0"
"06/30","火","11","3","0","1","14","0","0%","18784","0","43179","61963","0","0%","4425","0"
"TOTAL","","340","19","0","51","359","0","0%","1641694","0","169516","1811210","0","0%","5045","0"
