"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"04/01","土","2","6","0","0","8","0","0%","1,964","0","75,515","77,479","0","0%","9,685","8"
"04/02","日","2","4","0","0","6","0","0%","15,072","0","24,863","39,935","0","0%","6,656","6"
"04/03","月","2","6","0","0","8","0","0%","11,209","0","63,489","74,698","0","0%","9,337","8"
"04/04","火","2","5","0","0","7","0","0%","30,850","0","47,429","78,279","0","0%","11,183","7"
"04/05","水","0","3","0","0","3","0","0%","17,900","0","35,144","53,044","0","0%","17,681","3"
"04/06","木","3","5","0","0","8","0","0%","15,117","0","65,963","81,080","0","0%","10,135","7"
"04/07","金","2","4","0","0","6","0","0%","10,500","0","22,845","33,345","0","0%","5,558","4"
"04/08","土","2","8","0","0","10","0","0%","32,073","0","52,215","84,288","0","0%","8,429","10"
"04/09","日","1","3","0","0","4","0","0%","11,300","0","26,307","37,607","0","0%","9,402","4"
"04/10","月","1","7","0","0","8","0","0%","15,996","0","75,120","91,116","0","0%","11,390","7"
"04/11","火","1","3","0","0","4","0","0%","33,454","0","31,844","65,298","0","0%","16,325","3"
"04/12","水","5","3","0","0","8","0","0%","15,091","0","43,961","59,052","0","0%","7,382","8"
"04/13","木","1","7","0","0","8","0","0%","21,254","0","60,262","81,516","0","0%","10,190","7"
"04/14","金","1","2","0","0","3","0","0%","500","0","38,890","39,390","0","0%","13,130","2"
"04/15","土","1","9","0","0","10","0","0%","42,582","0","41,154","83,736","0","0%","8,374","10"
"04/16","日","1","2","0","0","3","0","0%","5,000","0","36,308","41,308","0","0%","13,769","3"
"04/17","月","2","2","0","0","4","0","0%","489","0","29,955","30,444","0","0%","7,611","4"
"04/18","火","5","8","0","0","13","0","0%","50,618","0","99,061","149,679","0","0%","11,514","12"
"04/19","水","3","3","0","0","6","0","0%","26,154","0","29,271","55,425","0","0%","9,238","6"
"04/20","木","3","3","0","0","6","0","0%","1,500","0","60,808","62,308","0","0%","10,385","6"
"04/21","金","2","6","0","0","8","0","0%","18,091","0","53,488","71,579","0","0%","8,947","8"
"04/22","土","4","9","0","0","13","0","0%","4,300","0","100,995","105,295","0","0%","8,100","14"
"04/23","日","0","4","0","0","4","0","0%","8,500","0","38,981","47,481","0","0%","11,870","4"
"04/24","月","0","4","0","0","4","0","0%","1,917","0","42,719","44,636","0","0%","11,159","3"
"04/25","火","1","3","0","0","4","0","0%","11,900","0","37,653","49,553","0","0%","12,388","4"
"04/26","水","2","6","0","0","8","0","0%","15,600","0","40,053","55,653","0","0%","6,957","8"
"04/27","木","3","6","0","0","9","0","0%","8,800","0","90,070","98,870","0","0%","10,986","9"
"04/28","金","2","5","0","0","7","0","0%","7,982","0","44,390","52,372","0","0%","7,482","6"
"04/29","土","2","10","0","0","12","0","0%","42,854","0","85,687","128,541","0","0%","10,712","12"
"04/30","日","3","4","0","0","7","0","0%","7,000","0","62,099","69,099","0","0%","9,871","7"
"TOTAL","","59","150","0","0","209","0","0%","485,567","0","1,556,539","2,042,106","0","0%","9,771","200"
