"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"05/01","日","4","0","0","0","4","9","44.44%","9,200","0","31,290","40,490","95,806","46.49%","10,123","4"
"05/02","月","3","0","0","0","3","9","33.33%","9,772","0","17,945","27,717","95,806","31.82%","9,239","3"
"05/03","火","9","2","0","0","11","9","122.22%","52,428","0","71,296","123,724","95,806","142.06%","11,248","11"
"05/04","水","4","3","0","0","7","9","77.78%","43,590","0","42,490","86,080","95,806","98.84%","12,297","7"
"05/05","木","3","5","0","0","8","9","88.89%","29,690","0","68,889","98,579","95,806","113.19%","12,322","7"
"05/06","金","1","2","0","0","3","9","33.33%","19,563","0","8,600","28,163","95,806","32.34%","9,388","4"
"05/07","土","9","0","0","0","9","9","100%","15,017","0","60,170","75,187","95,806","86.33%","8,354","8"
"05/08","日","4","1","0","0","5","9","55.56%","9,500","0","42,472","51,972","95,806","59.67%","10,394","5"
"05/09","月","2","1","0","0","3","9","33.33%","6,195","0","18,959","25,154","95,806","28.88%","8,385","3"
"05/10","火","4","1","0","0","5","9","55.56%","15,300","0","24,726","40,026","95,806","45.96%","8,005","5"
"05/11","水","6","2","0","0","8","9","88.89%","25,626","0","57,727","83,353","95,806","95.7%","10,419","7"
"05/12","木","3","1","0","0","4","9","44.44%","2,500","0","36,253","38,753","95,806","44.5%","9,688","4"
"05/13","金","4","1","0","0","5","9","55.56%","27,454","0","25,718","53,172","95,806","61.05%","10,634","5"
"05/14","土","6","3","0","0","9","10","90%","24,336","0","17,317","41,653","95,806","47.83%","4,628","9"
"05/15","日","6","1","0","0","7","10","70%","18,500","0","32,472","50,972","95,806","58.52%","7,282","7"
"05/16","月","2","1","0","0","3","10","30%","20,781","0","8,600","29,381","95,806","33.73%","9,794","3"
"05/17","火","6","3","0","0","9","10","90%","13,700","0","79,089","92,789","95,806","106.54%","10,310","9"
"05/18","水","5","1","0","1","7","10","70%","39,454","0","51,916","91,370","95,807","104.91%","13,053","7"
"05/19","木","1","2","0","0","3","10","30%","8,700","0","25,117","33,817","95,807","38.83%","11,272","3"
"05/20","金","4","2","0","0","6","10","60%","17,318","0","36,762","54,080","95,807","62.09%","9,013","5"
"05/21","土","4","7","0","0","11","10","110%","37,297","0","44,691","81,988","95,807","94.14%","7,453","11"
"05/22","日","3","3","0","0","6","10","60%","34,917","0","17,091","52,008","95,807","59.71%","8,668","6"
"05/23","月","3","0","0","0","3","10","30%","3,000","0","17,945","20,945","95,807","24.05%","6,982","3"
"05/24","火","2","1","0","0","3","10","30%","6,972","0","15,654","22,626","95,807","25.98%","7,542","3"
"05/25","水","3","3","0","0","6","10","60%","22,736","0","46,818","69,554","95,807","79.86%","11,592","6"
"05/26","木","4","1","0","0","5","10","50%","18,945","0","15,000","33,945","95,807","38.97%","6,789","4"
"05/27","金","6","0","0","0","6","10","60%","11,719","0","42,098","53,817","95,807","61.79%","8,970","6"
"05/28","土","5","1","0","0","6","10","60%","20,868","0","18,421","39,289","95,807","45.11%","6,548","6"
"05/29","日","2","5","0","0","7","10","70%","15,393","0","49,270","64,663","95,807","74.24%","9,238","7"
"05/30","月","2","1","0","0","3","10","30%","844","0","29,719","30,563","95,807","35.09%","10,188","3"
"05/31","火","4","2","0","0","6","10","60%","43,800","0","34,417","78,217","95,807","89.81%","13,036","6"
"TOTAL","","124","56","0","1","181","297","60.94%","625,115","0","1,088,932","1,714,047","2,970,000","57.71%","9,470","177"
