"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"09/01","木","2","5","0","0","7","9","77.78%","25,000","0","23,807","48,807","90,000","59.66%","6,972","7"
"09/02","金","2","3","0","0","5","9","55.56%","6,500","0","41,408","47,908","90,000","58.56%","9,582","5"
"09/03","土","5","5","0","0","10","9","111.11%","11,500","0","62,997","74,497","90,000","91.06%","7,450","10"
"09/04","日","5","8","0","0","13","9","144.44%","21,560","0","102,743","124,303","90,000","151.93%","9,562","11"
"09/05","月","1","3","0","0","4","9","44.44%","1,992","0","34,789","36,781","90,000","44.96%","9,195","4"
"09/06","火","4","4","0","0","8","9","88.89%","26,763","0","67,570","94,333","90,000","115.3%","11,792","9"
"09/07","水","4","4","0","0","8","9","88.89%","1,000","0","71,416","72,416","90,000","88.51%","9,052","8"
"09/08","木","3","6","0","0","9","9","100%","18,839","0","59,096","77,935","90,000","95.26%","8,659","9"
"09/09","金","4","2","0","0","6","9","66.67%","15,500","0","29,044","44,544","90,000","54.44%","7,424","6"
"09/10","土","3","9","0","0","12","9","133.33%","31,428","0","84,732","116,160","90,000","141.98%","9,680","12"
"09/11","日","1","4","0","0","5","9","55.56%","8,500","0","35,772","44,272","90,000","54.11%","8,854","5"
"09/12","月","3","5","0","0","8","9","88.89%","28,103","0","54,730","82,833","90,000","101.24%","10,354","8"
"09/13","火","2","5","0","0","7","9","77.78%","10,500","0","48,062","58,562","90,000","71.58%","8,366","6"
"09/14","水","4","3","0","0","7","9","77.78%","4,000","0","57,490","61,490","90,000","75.16%","8,784","7"
"09/15","木","1","3","0","0","4","9","44.44%","484","0","36,178","36,662","90,000","44.81%","9,166","4"
"09/16","金","4","5","0","0","9","9","100%","26,654","0","68,278","94,932","90,000","116.03%","10,548","9"
"09/17","土","3","8","0","0","11","9","122.22%","25,318","0","77,334","102,652","90,000","125.47%","9,332","11"
"09/18","日","1","4","0","0","5","9","55.56%","5,000","0","43,216","48,216","90,000","58.93%","9,643","4"
"09/19","月","5","2","0","0","7","9","77.78%","14,905","0","46,130","61,035","90,000","74.6%","8,719","7"
"09/20","火","5","3","0","0","8","9","88.89%","27,200","0","54,234","81,434","90,000","99.53%","10,179","8"
"09/21","水","5","7","0","0","12","9","133.33%","18,400","0","84,042","102,442","90,000","125.21%","8,537","9"
"09/22","木","1","2","0","0","3","9","33.33%","16,500","0","21,563","38,063","90,000","46.52%","12,688","3"
"09/23","金","7","8","0","1","16","9","177.78%","24,246","0","113,149","137,395","90,000","167.93%","8,587","15"
"09/24","土","4","9","0","1","14","9","155.56%","48,308","0","58,188","106,496","90,000","130.17%","7,607","13"
"09/25","日","6","3","0","0","9","9","100%","10,491","0","42,644","53,135","90,000","64.94%","5,904","10"
"09/26","月","8","3","0","0","11","9","122.22%","17,000","0","56,034","73,034","90,000","89.27%","6,639","11"
"09/27","火","6","5","0","0","11","9","122.22%","3,478","0","85,345","88,823","90,000","108.57%","8,075","11"
"09/28","水","4","4","0","0","8","9","88.89%","18,419","0","46,680","65,099","90,000","79.57%","8,137","8"
"09/29","木","4","6","0","0","10","9","111.11%","13,727","0","42,189","55,916","90,000","68.34%","5,592","10"
"09/30","金","5","0","0","0","5","9","55.56%","3,014","0","36,075","39,089","90,000","47.78%","7,818","5"
"TOTAL","","112","138","0","2","252","270","93.33%","484,329","0","1,684,935","2,169,264","2,700,000","80.34%","8,608","245"
