"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"01/01","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"01/02","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"01/03","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"01/04","水","1","2","0","0","3","0","0%","15,281","0","14,254","29,535","0","0%","9,845","3"
"01/05","木","3","7","0","0","10","0","0%","7,342","0","75,474","82,816","0","0%","8,282","9"
"01/06","金","4","5","0","0","9","0","0%","11,086","0","62,758","73,844","0","0%","8,205","9"
"01/07","土","3","7","0","0","10","0","0%","5,991","0","85,505","91,496","0","0%","9,150","9"
"01/08","日","3","1","0","0","4","0","0%","9,090","0","24,809","33,899","0","0%","8,475","5"
"01/09","月","3","5","0","1","9","0","0%","6,090","0","72,818","78,908","0","0%","8,768","8"
"01/10","火","3","0","0","0","3","0","0%","2,500","0","31,453","33,953","0","0%","11,318","3"
"01/11","水","0","4","0","0","4","0","0%","13,200","0","33,727","46,927","0","0%","11,732","3"
"01/12","木","3","4","0","0","7","0","0%","1,856","0","51,297","53,153","0","0%","7,593","7"
"01/13","金","3","2","0","0","5","0","0%","2,294","0","36,822","39,116","0","0%","7,823","5"
"01/14","土","2","8","0","0","10","0","0%","12,260","0","67,455","79,715","0","0%","7,972","10"
"01/15","日","1","4","0","0","5","0","0%","10,800","0","35,180","45,980","0","0%","9,196","5"
"01/16","月","2","4","0","0","6","0","0%","8,854","0","24,036","32,890","0","0%","5,482","5"
"01/17","火","3","6","0","0","9","0","0%","1,886","0","68,556","70,442","0","0%","7,827","8"
"01/18","水","1","3","0","0","4","0","0%","30,172","0","22,563","52,735","0","0%","13,184","4"
"01/19","木","2","3","0","0","5","0","0%","10,700","0","51,063","61,763","0","0%","12,353","5"
"01/20","金","1","3","0","0","4","0","0%","1,500","0","40,670","42,170","0","0%","10,543","4"
"01/21","土","3","6","0","0","9","0","0%","20,455","0","52,125","72,580","0","0%","8,064","9"
"01/22","日","3","2","0","0","5","0","0%","2,000","0","31,999","33,999","0","0%","6,800","5"
"01/23","月","1","4","0","0","5","0","0%","1,184","0","33,514","34,698","0","0%","6,940","5"
"01/24","火","3","7","0","0","10","0","0%","28,000","0","60,917","88,917","0","0%","8,892","9"
"01/25","水","1","2","0","0","3","0","0%","36,554","0","6,709","43,263","0","0%","14,421","3"
"01/26","木","0","3","0","0","3","0","0%","29,154","0","7,527","36,681","0","0%","12,227","3"
"01/27","金","3","6","0","0","9","0","0%","8,900","0","58,834","67,734","0","0%","7,526","8"
"01/28","土","3","6","0","0","9","0","0%","33,828","0","67,050","100,878","0","0%","11,209","9"
"01/29","日","2","8","0","1","11","0","0%","31,767","0","70,684","102,451","0","0%","9,314","10"
"01/30","月","3","4","0","0","7","0","0%","21,385","0","46,050","67,435","0","0%","9,634","7"
"01/31","火","2","1","0","0","3","0","0%","0","0","18,581","18,581","0","0%","6,194","3"
"TOTAL","","62","117","0","2","181","0","0%","364,129","0","1,252,430","1,616,559","0","0%","8,931","173"
