"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"10/01","水","3","3","0","0","6","11","54.55%","11,979","58,965","0","70,944","121,935","64%","11,824","6"
"10/02","木","5","3","0","0","8","11","72.73%","5,484","48,578","0","54,062","121,935","48.77%","6,758","8"
"10/03","金","2","5","0","0","7","11","63.64%","14,296","63,674","0","77,970","121,935","70.34%","11,139","7"
"10/04","土","5","15","0","0","20","11","181.82%","20,579","175,507","6,200","202,286","121,935","182.49%","10,114","20"
"10/05","日","3","20","0","0","23","11","209.09%","62,582","130,471","25,527","218,580","121,935","197.19%","9,503","24"
"10/06","月","2","7","0","0","9","11","81.82%","6,470","83,972","3,800","94,242","121,935","85.02%","10,471","9"
"10/07","火","2","4","0","0","6","11","54.55%","22,695","55,667","472","78,834","121,935","71.12%","13,139","5"
"10/08","水","3","6","0","0","9","11","81.82%","20,791","65,053","12,445","98,289","121,935","88.67%","10,921","9"
"10/09","木","0","12","0","0","12","11","109.09%","34,594","79,367","18,500","132,461","121,935","119.5%","11,038","12"
"10/10","金","4","10","0","0","14","11","127.27%","28,152","97,536","9,600","135,288","121,935","122.05%","9,663","14"
"10/11","土","5","12","0","0","17","11","154.55%","36,884","134,211","7,600","178,695","121,935","161.21%","10,511","17"
"10/12","日","2","15","0","0","17","11","154.55%","26,955","159,804","0","186,759","121,935","168.48%","10,986","18"
"10/13","月","5","9","0","0","14","12","116.67%","39,290","82,617","0","121,907","121,935","109.98%","8,708","14"
"10/14","火","4","6","0","0","10","12","83.33%","6,103","92,576","14,900","113,579","121,935","102.46%","11,358","9"
"10/15","水","1","7","0","0","8","12","66.67%","8,318","99,543","9,900","117,761","121,935","106.24%","14,720","7"
"10/16","木","1","5","0","0","6","12","50%","3,762","59,636","0","63,398","121,935","57.19%","10,566","6"
"10/17","金","1","8","0","0","9","12","75%","10,452","64,464","88,900","163,816","121,936","147.78%","18,202","7"
"10/18","土","0","16","0","0","16","12","133.33%","22,958","151,816","0","174,774","121,936","157.67%","10,923","16"
"10/19","日","7","8","0","0","15","12","125%","27,000","139,377","0","166,377","121,936","150.1%","11,092","15"
"10/20","月","3","6","0","0","9","12","75%","31,515","67,173","0","98,688","121,936","89.03%","10,965","9"
"10/21","火","2","3","0","0","5","12","41.67%","19,772","29,453","0","49,225","121,936","44.41%","9,845","5"
"10/22","水","2","5","0","0","7","12","58.33%","34,466","43,778","5,000","83,244","121,936","75.1%","11,892","6"
"10/23","木","0","7","0","1","8","12","66.67%","23,818","46,689","6,681","77,188","121,936","69.63%","9,649","7"
"10/24","金","0","8","0","0","8","12","66.67%","21,918","64,888","0","86,806","121,936","78.31%","10,851","8"
"10/25","土","2","15","0","0","17","12","141.67%","40,565","113,176","0","153,741","121,936","138.7%","9,044","17"
"10/26","日","7","9","0","0","16","12","133.33%","17,988","119,844","13,700","151,532","121,936","136.7%","9,471","16"
"10/27","月","5","1","0","0","6","12","50%","6,785","32,705","0","39,490","121,936","35.63%","6,582","6"
"10/28","火","1","3","0","0","4","12","33.33%","1,479","42,039","10,600","54,118","121,936","48.82%","13,530","3"
"10/29","水","1","6","0","0","7","12","58.33%","4,470","76,265","0","80,735","121,936","72.83%","11,534","7"
"10/30","木","1","5","0","1","7","12","58.33%","2,400","71,517","22,300","96,217","121,936","86.8%","13,745","6"
"10/31","金","0","6","0","0","6","12","50%","18,500","53,053","3,800","75,353","121,936","67.98%","12,559","6"
"TOTAL","","79","245","0","2","326","360","90.56%","633,020","2,603,414","259,925","3,496,359","3,780,000","92.5%","10,725","319"
