"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"12/01","月","3","4","0","0","7","12","58.33%","17,515","34,956","0","52,471","135,483","42.6%","7,496","7"
"12/02","火","1","6","0","0","7","12","58.33%","11,654","47,635","6,400","65,689","135,483","53.34%","9,384","7"
"12/03","水","3","8","0","0","11","12","91.67%","29,481","53,017","45,618","128,116","135,483","104.02%","11,647","11"
"12/04","木","2","11","0","1","14","13","107.69%","17,480","118,817","23,918","160,215","135,483","130.08%","11,444","12"
"12/05","金","1","7","0","0","8","13","61.54%","21,701","56,206","0","77,907","135,484","63.25%","9,738","8"
"12/06","土","4","15","0","1","20","13","153.85%","79,556","107,413","48,572","235,541","135,484","191.24%","11,777","18"
"12/07","日","4","10","0","1","15","13","115.38%","32,237","140,534","34,553","207,324","135,484","168.33%","13,822","14"
"12/08","月","4","5","0","0","9","13","69.23%","10,216","78,154","12,500","100,870","135,484","81.9%","11,208","9"
"12/09","火","2","14","0","0","16","13","123.08%","32,509","147,422","14,100","194,031","135,484","157.54%","12,127","16"
"12/10","水","2","7","0","0","9","13","69.23%","54,333","72,620","9,972","136,925","135,484","111.17%","15,214","9"
"12/11","木","2","7","0","0","9","13","69.23%","15,113","85,812","10,490","111,415","135,484","90.46%","12,379","8"
"12/12","金","4","8","0","0","12","13","92.31%","29,545","83,452","3,000","115,997","135,484","94.18%","9,666","12"
"12/13","土","6","12","0","0","18","13","138.46%","63,660","114,063","8,400","186,123","135,484","151.12%","10,340","18"
"12/14","日","2","13","0","0","15","13","115.38%","23,140","122,276","81,698","227,114","135,484","184.4%","15,141","15"
"12/15","月","5","5","0","1","11","13","84.62%","9,709","89,243","13,772","112,724","135,484","91.52%","10,248","10"
"12/16","火","1","7","0","0","8","13","61.54%","30,413","50,759","20,718","101,890","135,484","82.73%","12,736","7"
"12/17","水","4","9","0","0","13","13","100%","22,810","100,479","16,000","139,289","135,484","113.09%","10,715","12"
"12/18","木","1","9","0","1","11","13","84.62%","10,795","112,729","23,018","146,542","135,484","118.98%","13,322","9"
"12/19","金","2","10","0","0","12","13","92.31%","37,740","65,076","14,418","117,234","135,484","95.18%","9,770","10"
"12/20","土","3","23","0","0","26","13","200%","51,953","218,096","6,081","276,130","135,484","224.2%","10,620","28"
"12/21","日","4","14","0","0","18","13","138.46%","16,468","135,222","1,559","153,249","135,484","124.43%","8,514","18"
"12/22","月","4","5","0","0","9","13","69.23%","12,174","61,925","16,826","90,925","135,484","73.82%","10,103","8"
"12/23","火","1","12","0","0","13","13","100%","50,954","104,798","11,453","167,205","135,484","135.76%","12,862","13"
"12/24","水","2","10","0","0","12","13","92.31%","31,134","102,276","10,487","143,897","135,484","116.83%","11,991","12"
"12/25","木","1","11","0","0","12","13","92.31%","8,000","97,562","27,199","132,761","135,484","107.79%","11,063","9"
"12/26","金","3","13","0","0","16","13","123.08%","22,873","121,727","61,705","206,305","135,484","167.5%","12,894","15"
"12/27","土","7","15","0","0","22","13","169.23%","42,208","189,809","27,596","259,613","135,484","210.79%","11,801","21"
"12/28","日","4","11","0","0","15","13","115.38%","12,861","156,188","12,727","181,776","135,484","147.59%","12,118","15"
"12/29","月","3","15","0","1","19","13","146.15%","33,004","168,254","22,100","223,358","135,484","181.35%","11,756","18"
"12/30","火","3","16","0","0","19","13","146.15%","34,281","167,211","38,010","239,502","135,484","194.46%","12,605","18"
"12/31","水","0","0","0","0","0","13","0%","0","0","0","0","135,484","0%","0","0"
"TOTAL","","88","312","0","6","406","400","101.5%","865,517","3,203,731","622,890","4,692,138","4,200,000","111.72%","11,557","387"
