"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"06/01","ìy","6","13","0","0","19","12","158.33%","43,500","0","135,313","178,813","120,000","163.92%","9,411","19"
"06/02","ì˙","3","10","0","1","14","12","116.67%","19,823","0","115,072","134,895","120,000","123.66%","9,635","13"
"06/03","åé","1","5","0","0","6","12","50%","1,779","0","75,037","76,816","120,000","70.42%","12,803","6"
"06/04","âŒ","1","7","0","0","8","12","66.67%","16,841","0","81,385","98,226","120,000","90.04%","12,278","7"
"06/05","êÖ","1","7","0","0","8","12","66.67%","17,500","0","55,962","73,462","120,000","67.34%","9,183","8"
"06/06","ñÿ","3","6","0","0","9","12","75%","16,091","0","98,297","114,388","120,000","104.86%","12,710","9"
"06/07","ã‡","0","10","0","0","10","12","83.33%","48,181","0","86,045","134,226","120,000","123.04%","13,423","10"
"06/08","ìy","2","14","0","1","17","12","141.67%","44,127","0","121,650","165,777","120,000","151.97%","9,752","16"
"06/09","ì˙","3","12","0","0","15","12","125%","30,937","0","88,496","119,433","120,000","109.48%","7,962","14"
"06/10","åé","2","6","0","0","8","12","66.67%","19,300","0","50,171","69,471","120,000","63.68%","8,684","7"
"06/11","âŒ","1","7","0","0","8","12","66.67%","30,000","0","54,452","84,452","120,000","77.42%","10,557","8"
"06/12","êÖ","2","4","0","1","7","12","58.33%","4,300","0","57,462","61,762","120,000","56.62%","8,823","6"
"06/13","ñÿ","2","9","0","0","11","12","91.67%","10,900","0","117,761","128,661","120,000","117.94%","11,696","11"
"06/14","ã‡","1","13","0","0","14","12","116.67%","17,743","0","149,844","167,587","120,000","153.63%","11,971","13"
"06/15","ìy","3","4","0","0","7","12","58.33%","31,962","0","50,827","82,789","120,000","75.89%","11,827","7"
"06/16","ì˙","1","10","0","0","11","12","91.67%","19,889","0","113,507","133,396","120,000","122.28%","12,127","12"
"06/17","åé","2","3","0","0","5","12","41.67%","4,958","0","56,478","61,436","120,000","56.32%","12,287","5"
"06/18","âŒ","0","8","0","0","8","12","66.67%","10,000","0","92,707","102,707","120,000","94.15%","12,838","8"
"06/19","êÖ","5","8","0","0","13","12","108.33%","33,936","0","58,943","92,879","120,000","85.14%","7,145","12"
"06/20","ñÿ","1","8","0","0","9","12","75%","17,282","0","66,880","84,162","120,000","77.15%","9,351","8"
"06/21","ã‡","2","6","0","0","8","12","66.67%","24,300","0","60,081","84,381","120,000","77.35%","10,548","8"
"06/22","ìy","2","18","0","0","20","12","166.67%","47,490","0","157,632","205,122","120,000","188.03%","10,256","18"
"06/23","ì˙","2","12","0","0","14","12","116.67%","20,492","0","105,676","126,168","120,000","115.66%","9,012","14"
"06/24","åé","1","8","0","0","9","12","75%","25,600","0","64,825","90,425","120,000","82.89%","10,047","9"
"06/25","âŒ","3","9","0","0","12","12","100%","3,264","0","126,143","129,407","120,000","118.63%","10,784","9"
"06/26","êÖ","0","10","0","0","10","12","83.33%","32,426","0","69,034","101,460","120,000","93.01%","10,146","10"
"06/27","ñÿ","3","7","0","0","10","12","83.33%","6,800","0","74,962","81,762","120,000","74.95%","8,176","10"
"06/28","ã‡","1","8","0","0","9","12","75%","29,772","0","54,053","83,825","120,000","76.84%","9,314","8"
"06/29","ìy","3","16","0","0","19","12","158.33%","61,800","0","143,624","205,424","120,000","188.31%","10,812","19"
"06/30","ì˙","3","11","0","0","14","12","116.67%","14,627","0","121,742","136,369","120,000","125.01%","9,741","14"
"TOTAL","","60","269","0","3","332","360","92.22%","705,620","0","2,704,061","3,409,681","3,600,000","94.71%","10,270","318"
