"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"08/01","ñÿ","2","1","0","0","3","11","27.27%","7,500","0","22,672","30,172","116,129","28.58%","10,057","3"
"08/02","ã‡","2","5","0","0","7","11","63.64%","2,000","0","84,389","86,389","116,129","81.83%","12,341","7"
"08/03","ìy","2","16","0","0","18","11","163.64%","35,698","0","147,832","183,530","116,129","173.85%","10,196","18"
"08/04","ì˙","1","13","0","0","14","11","127.27%","24,826","0","104,525","129,351","116,129","122.53%","9,239","14"
"08/05","åé","4","6","0","0","10","11","90.91%","3,000","0","103,297","106,297","116,129","100.69%","10,630","9"
"08/06","âŒ","4","8","0","0","12","11","109.09%","70,116","0","110,581","180,697","116,129","171.16%","15,058","11"
"08/07","êÖ","0","7","0","0","7","11","63.64%","13,856","0","85,460","99,316","116,129","94.08%","14,188","7"
"08/08","ñÿ","2","12","0","1","15","11","136.36%","13,554","0","134,250","147,804","116,129","140.01%","9,854","12"
"08/09","ã‡","2","10","0","0","12","11","109.09%","20,845","0","99,670","120,515","116,129","114.16%","10,043","11"
"08/10","ìy","5","16","0","0","21","11","190.91%","39,443","0","148,434","187,877","116,129","177.97%","8,947","18"
"08/11","ì˙","7","11","0","0","18","11","163.64%","43,563","0","102,578","146,141","116,129","138.43%","8,119","18"
"08/12","åé","3","8","0","0","11","11","100%","41,063","0","76,962","118,025","116,129","111.8%","10,730","11"
"08/13","âŒ","0","4","0","0","4","12","33.33%","15,832","0","25,548","41,380","116,129","39.2%","10,345","4"
"08/14","êÖ","1","3","0","0","4","12","33.33%","26,600","0","29,643","56,243","116,129","53.28%","14,061","4"
"08/15","ñÿ","2","10","0","0","12","12","100%","13,246","0","107,852","121,098","116,129","114.71%","10,092","12"
"08/16","ã‡","2","4","0","0","6","12","50%","11,900","0","49,908","61,808","116,129","58.55%","10,301","6"
"08/17","ìy","3","10","0","0","13","12","108.33%","9,100","0","122,833","131,933","116,129","124.97%","10,149","13"
"08/18","ì˙","2","10","0","0","12","12","100%","18,482","0","90,214","108,696","116,129","102.96%","9,058","12"
"08/19","åé","1","5","0","0","6","12","50%","1,456","0","92,225","93,681","116,129","88.74%","15,614","5"
"08/20","âŒ","0","9","0","0","9","12","75%","12,161","0","74,964","87,125","116,129","82.53%","9,681","9"
"08/21","êÖ","0","9","0","0","9","12","75%","24,644","0","52,172","76,816","116,129","72.76%","8,535","8"
"08/22","ñÿ","1","9","0","0","10","12","83.33%","25,354","0","78,754","104,108","116,129","98.61%","10,411","9"
"08/23","ã‡","1","8","0","0","9","12","75%","4,600","0","67,396","71,996","116,129","68.2%","8,000","8"
"08/24","ìy","6","14","0","0","20","12","166.67%","16,700","0","193,601","210,301","116,129","199.21%","10,515","19"
"08/25","ì˙","5","9","0","0","14","12","116.67%","15,645","0","125,379","141,024","116,129","133.58%","10,073","14"
"08/26","åé","3","6","0","0","9","12","75%","23,200","0","59,126","82,326","116,129","77.98%","9,147","8"
"08/27","âŒ","2","6","0","0","8","12","66.67%","16,309","0","89,090","105,399","116,129","99.84%","13,175","6"
"08/28","êÖ","2","5","0","0","7","12","58.33%","800","0","62,616","63,416","116,129","60.07%","9,059","6"
"08/29","ñÿ","5","6","0","0","11","12","91.67%","26,809","0","99,124","125,933","116,129","119.29%","11,448","11"
"08/30","ã‡","1","4","0","0","5","12","41.67%","6,500","0","43,053","49,553","116,129","46.94%","9,911","4"
"08/31","ìy","4","11","0","0","15","12","125%","8,584","0","137,247","145,831","116,130","138.14%","9,722","15"
"TOTAL","","75","255","0","1","331","360","91.94%","593,386","0","2,821,395","3,414,781","3,600,000","94.86%","10,317","312"
