"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"09/01","月","1","4","0","0","5","12","41.67%","20,954","22,199","0","43,153","126,000","37.67%","8,631","5"
"09/02","火","2","9","0","0","11","12","91.67%","8,477","83,201","6,300","97,978","126,000","85.54%","8,907","11"
"09/03","水","5","11","0","0","16","12","133.33%","25,221","113,412","21,500","160,133","126,000","139.8%","10,008","15"
"09/04","木","1","2","0","3","6","12","50%","3,000","29,145","44,727","76,872","126,000","67.11%","12,812","3"
"09/05","金","2","12","0","0","14","12","116.67%","17,491","122,951","19,500","159,942","126,000","139.63%","11,424","14"
"09/06","土","5","13","0","0","18","12","150%","71,835","111,833","2,600","186,268","126,000","162.62%","10,348","18"
"09/07","日","1","15","0","0","16","12","133.33%","28,995","157,086","0","186,081","126,000","162.46%","11,630","16"
"09/08","月","3","6","0","0","9","12","75%","40,354","60,780","0","101,134","126,000","88.29%","11,237","9"
"09/09","火","0","6","0","1","7","12","58.33%","2,000","57,652","36,418","96,070","126,000","83.87%","13,724","4"
"09/10","水","1","8","0","0","9","12","75%","15,534","58,136","14,263","87,933","126,000","76.77%","9,770","7"
"09/11","木","0","5","0","0","5","12","41.67%","19,129","60,260","3,500","82,889","126,000","72.37%","16,578","5"
"09/12","金","2","5","0","0","7","12","58.33%","20,336","25,672","1,863","47,871","126,000","41.79%","6,839","6"
"09/13","土","6","8","0","0","14","12","116.67%","28,239","117,076","7,600","152,915","126,000","133.5%","10,923","14"
"09/14","日","1","7","0","0","8","12","66.67%","9,173","97,143","2,272","108,588","126,000","94.8%","13,574","8"
"09/15","月","5","7","0","0","12","12","100%","25,219","89,414","4,200","118,833","126,000","103.75%","9,903","12"
"09/16","火","1","9","0","0","10","12","83.33%","9,460","91,383","10,800","111,643","126,000","97.47%","11,164","10"
"09/17","水","0","7","0","0","7","12","58.33%","14,710","53,560","6,800","75,070","126,000","65.54%","10,724","7"
"09/18","木","0","3","0","0","3","12","25%","1,478","32,148","0","33,626","126,000","29.36%","11,209","3"
"09/19","金","3","11","0","1","15","12","125%","18,445","104,869","29,372","152,686","126,000","133.3%","10,179","14"
"09/20","土","4","11","0","0","15","12","125%","32,021","100,776","13,163","145,960","126,000","127.43%","9,731","16"
"09/21","日","3","13","0","1","17","12","141.67%","29,663","116,414","1,863","147,940","126,000","129.16%","8,702","16"
"09/22","月","2","9","0","0","11","12","91.67%","3,698","113,626","2,000","119,324","126,000","104.17%","10,848","11"
"09/23","火","6","10","0","0","16","12","133.33%","18,336","111,351","3,800","133,487","126,000","116.54%","8,343","16"
"09/24","水","1","9","0","0","10","12","83.33%","44,571","46,754","20,100","111,425","126,000","97.28%","11,143","10"
"09/25","木","2","6","0","0","8","12","66.67%","24,240","74,559","15,772","114,571","126,000","100.02%","14,321","8"
"09/26","金","1","11","0","0","12","12","100%","30,018","96,342","4,200","130,560","126,000","113.98%","10,880","12"
"09/27","土","1","20","0","0","21","12","175%","48,330","158,600","7,000","213,930","126,000","186.77%","10,187","20"
"09/28","日","5","6","0","0","11","12","91.67%","48,202","52,613","8,745","109,560","126,000","95.65%","9,960","11"
"09/29","月","4","7","0","0","11","12","91.67%","29,773","62,187","15,800","107,760","126,000","94.08%","9,796","10"
"09/30","火","3","9","0","0","12","12","100%","20,779","76,782","31,863","129,424","126,000","112.99%","10,785","9"
"TOTAL","","71","259","0","6","336","360","93.33%","709,681","2,497,924","336,021","3,543,626","3,780,000","93.75%","10,547","320"
