"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"09/01","月","19","5","0","0","24","30","80%","45,400","0","122,436","167,836","200,200","92.22%","6,993","24"
"09/02","火","21","0","0","0","21","30","70%","63,400","0","79,700","143,100","200,200","78.63%","6,814","21"
"09/03","水","30","0","0","0","30","30","100%","60,927","0","96,891","157,818","200,200","86.71%","5,261","30"
"09/04","木","28","1","0","0","29","30","96.67%","65,836","0","116,081","181,917","200,200","99.96%","6,273","29"
"09/05","金","24","0","0","0","24","30","80%","58,200","0","106,681","164,881","200,200","90.59%","6,870","24"
"09/06","土","33","1","0","0","34","30","113.33%","110,100","0","96,381","206,481","200,200","113.45%","6,073","34"
"09/07","日","29","0","0","0","29","31","93.55%","66,100","0","103,682","169,782","200,200","93.29%","5,855","29"
"09/08","月","25","1","0","0","26","31","83.87%","92,600","0","91,300","183,900","200,200","101.04%","7,073","27"
"09/09","火","12","1","0","0","13","31","41.94%","76,500","0","42,391","118,891","200,200","65.32%","9,145","14"
"09/10","水","35","2","0","0","37","31","119.35%","107,100","0","120,545","227,645","200,200","125.08%","6,153","38"
"09/11","木","42","3","0","0","45","31","145.16%","108,000","0","208,407","316,407","200,200","173.85%","7,031","45"
"09/12","金","34","3","0","0","37","31","119.35%","69,800","0","166,500","236,300","200,200","129.84%","6,386","37"
"09/13","土","41","1","0","0","42","31","135.48%","95,400","0","220,682","316,082","200,200","173.67%","7,526","42"
"09/14","日","31","0","0","0","31","31","100%","86,700","0","132,181","218,881","200,200","120.26%","7,061","31"
"09/15","月","37","2","0","0","39","31","125.81%","76,800","0","201,981","278,781","200,200","153.18%","7,148","39"
"09/16","火","27","2","0","0","29","31","93.55%","80,500","0","113,754","194,254","200,200","106.73%","6,698","29"
"09/17","水","35","3","0","0","38","31","122.58%","110,200","0","173,217","283,417","200,200","155.72%","7,458","38"
"09/18","木","21","4","0","0","25","31","80.65%","86,000","0","111,208","197,208","200,200","108.36%","7,888","26"
"09/19","金","32","2","0","1","35","31","112.9%","95,800","0","149,166","244,966","200,200","134.6%","6,999","35"
"09/20","土","35","4","0","0","39","31","125.81%","62,350","0","192,326","254,676","200,200","139.93%","6,530","39"
"09/21","日","32","1","0","0","33","31","106.45%","76,627","0","153,400","230,027","200,200","126.39%","6,971","33"
"09/22","月","14","3","0","0","17","31","54.84%","35,500","0","97,545","133,045","200,200","73.1%","7,826","19"
"09/23","火","22","3","0","0","25","31","80.65%","41,500","0","134,208","175,708","200,200","96.54%","7,028","27"
"09/24","水","24","7","0","0","31","31","100%","75,500","0","142,964","218,464","200,200","120.03%","7,047","31"
"09/25","木","27","7","0","0","34","31","109.68%","79,400","0","120,936","200,336","200,200","110.07%","5,892","34"
"09/26","金","27","4","0","0","31","31","100%","122,600","0","110,345","232,945","200,200","127.99%","7,514","32"
"09/27","土","18","4","0","0","22","31","70.97%","93,700","0","51,700","145,400","200,200","79.89%","6,609","23"
"09/28","日","12","6","0","0","18","31","58.06%","32,500","0","71,318","103,818","200,200","57.04%","5,768","18"
"09/29","月","18","3","0","0","21","31","67.74%","29,900","0","95,117","125,017","200,200","68.69%","5,953","21"
"09/30","火","24","2","0","0","26","31","83.87%","58,100","0","82,881","140,981","200,200","77.46%","5,422","27"
"TOTAL","","809","75","0","1","885","924","95.78%","2,263,040","0","3,705,924","5,968,964","6,006,000","99.38%","6,745","896"
