"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"08/01","ã‡","4","5","0","0","9","12","75%","12,172","33,790","8,500","54,462","126,677","47.29%","6,051","8"
"08/02","ìy","8","15","0","4","27","12","225%","30,275","182,166","31,409","243,850","126,677","211.75%","9,031","23"
"08/03","ì˙","2","15","0","0","17","12","141.67%","14,417","160,425","0","174,842","126,677","151.83%","10,285","17"
"08/04","åé","2","7","0","0","9","12","75%","34,297","60,038","8,600","102,935","126,677","89.38%","11,437","9"
"08/05","âŒ","3","9","0","0","12","12","100%","16,903","88,940","31,700","137,543","126,677","119.44%","11,462","10"
"08/06","êÖ","0","11","0","0","11","12","91.67%","20,014","117,284","4,000","141,298","126,677","122.7%","12,845","11"
"08/07","ñÿ","2","10","0","0","12","12","100%","10,484","66,922","19,700","97,106","126,677","84.32%","8,092","11"
"08/08","ã‡","0","7","0","0","7","12","58.33%","13,154","63,980","16,272","93,406","126,677","81.11%","13,344","6"
"08/09","ìy","4","15","0","0","19","12","158.33%","21,078","142,797","14,500","178,375","126,677","154.9%","9,388","18"
"08/10","ì˙","3","8","0","0","11","12","91.67%","18,289","84,900","0","103,189","126,677","89.61%","9,381","11"
"08/11","åé","3","8","0","0","11","12","91.67%","23,598","89,936","0","113,534","126,677","98.59%","10,321","11"
"08/12","âŒ","1","5","0","0","6","12","50%","11,738","35,014","4,381","51,133","126,677","44.4%","8,522","6"
"08/13","êÖ","0","9","0","1","10","12","83.33%","13,187","90,046","1,863","105,096","126,677","91.26%","10,510","9"
"08/14","ñÿ","3","6","0","0","9","12","75%","14,418","64,325","0","78,743","126,677","68.38%","8,749","9"
"08/15","ã‡","6","5","0","0","11","12","91.67%","23,684","66,859","6,000","96,543","126,677","83.84%","8,777","11"
"08/16","ìy","1","12","0","0","13","12","108.33%","36,335","117,170","22,472","175,977","126,677","152.81%","13,537","13"
"08/17","ì˙","5","8","0","0","13","12","108.33%","22,863","91,670","8,300","122,833","126,677","106.66%","9,449","13"
"08/18","åé","3","6","0","0","9","12","75%","26,300","26,762","16,800","69,862","126,677","60.67%","7,762","8"
"08/19","âŒ","2","6","0","0","8","12","66.67%","10,485","59,486","19,300","89,271","126,678","77.52%","11,159","7"
"08/20","êÖ","2","7","0","0","9","12","75%","12,911","51,341","0","64,252","126,678","55.8%","7,139","9"
"08/21","ñÿ","3","9","0","1","13","12","108.33%","19,365","117,068","35,072","171,505","126,678","148.93%","13,193","12"
"08/22","ã‡","2","8","0","0","10","12","83.33%","13,639","63,568","29,000","106,207","126,678","92.23%","10,621","9"
"08/23","ìy","1","13","0","0","14","12","116.67%","35,596","92,054","6,600","134,250","126,678","116.58%","9,589","14"
"08/24","ì˙","3","12","0","0","15","12","125%","22,334","100,281","5,000","127,615","126,678","110.82%","8,508","15"
"08/25","åé","1","5","0","0","6","12","50%","26,500","48,998","0","75,498","126,678","65.56%","12,583","6"
"08/26","âŒ","1","4","0","0","5","12","41.67%","15,000","45,925","1,818","62,743","126,678","54.48%","12,549","5"
"08/27","êÖ","0","8","0","0","8","12","66.67%","43,292","51,806","0","95,098","126,678","82.58%","11,887","8"
"08/28","ñÿ","0","6","0","0","6","12","50%","2,487","70,975","8,800","82,262","126,678","71.43%","13,710","5"
"08/29","ã‡","2","9","0","0","11","12","91.67%","25,844","84,363","5,000","115,207","126,678","100.04%","10,473","11"
"08/30","ìy","2","13","0","1","16","13","123.08%","46,085","108,447","16,900","171,432","126,678","148.87%","10,715","15"
"08/31","ì˙","3","14","0","0","17","13","130.77%","20,909","104,285","3,318","128,512","126,678","111.6%","7,560","16"
"TOTAL","","72","275","0","7","354","374","94.65%","657,653","2,581,621","325,305","3,564,579","3,927,000","90.77%","10,069","336"
