"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"04/01","水","3","6","0","0","9","12","75%","33,932","72,103","2,272","108,307","131,966","90.28%","12,034","8"
"04/02","木","2","7","0","0","9","12","75%","20,000","87,634","6,800","114,434","131,966","95.39%","12,715","9"
"04/03","金","3","6","0","0","9","12","75%","12,217","64,536","2,000","78,753","131,966","65.65%","8,750","9"
"04/04","土","6","14","0","0","20","12","166.67%","37,908","156,668","27,238","221,814","131,966","184.9%","11,091","20"
"04/05","日","9","11","0","0","20","12","166.67%","31,000","106,596","7,800","145,396","131,966","121.2%","7,270","20"
"04/06","月","3","4","0","0","7","12","58.33%","41,684","28,597","0","70,281","131,966","58.58%","10,040","8"
"04/07","火","3","6","0","0","9","12","75%","41,381","76,335","8,282","125,998","131,966","105.03%","14,000","9"
"04/08","水","4","4","0","0","8","12","66.67%","18,518","64,435","0","82,953","131,966","69.15%","10,369","8"
"04/09","木","1","8","0","0","9","12","75%","6,495","79,728","3,609","89,832","131,966","74.88%","9,981","9"
"04/10","金","2","6","0","0","8","12","66.67%","17,856","112,705","9,909","140,470","131,966","117.09%","17,559","8"
"04/11","土","1","15","0","0","16","12","133.33%","65,820","113,594","2,508","181,922","131,967","151.64%","11,370","16"
"04/12","日","6","6","0","0","12","12","100%","12,300","80,278","0","92,578","131,967","77.17%","7,715","12"
"04/13","月","0","7","0","1","8","12","66.67%","18,254","43,344","28,781","90,379","131,967","75.34%","11,297","6"
"04/14","火","2","4","0","0","6","12","50%","12,894","62,031","0","74,925","131,967","62.46%","12,488","6"
"04/15","水","0","0","0","0","0","12","0%","0","0","0","0","131,967","0%","0","0"
"04/16","木","2","11","0","0","13","12","108.33%","42,449","89,950","43,024","175,423","131,967","146.23%","13,494","12"
"04/17","金","3","8","0","0","11","12","91.67%","57,483","56,591","16,360","130,434","131,967","108.72%","11,858","11"
"04/18","土","0","17","0","0","17","12","141.67%","44,355","148,938","24,020","217,313","131,967","181.14%","12,783","17"
"04/19","日","2","11","0","0","13","12","108.33%","13,978","111,291","3,800","129,069","131,967","107.59%","9,928","14"
"04/20","月","4","3","0","0","7","12","58.33%","1,500","72,179","0","73,679","131,967","61.42%","10,526","7"
"04/21","火","3","7","0","0","10","13","76.92%","26,909","54,870","6,200","87,979","131,967","73.34%","8,798","10"
"04/22","水","2","9","0","0","11","13","84.62%","13,000","92,651","1,600","107,251","131,967","89.4%","9,750","11"
"04/23","木","4","4","0","0","8","13","61.54%","26,676","68,275","4,001","98,952","131,967","82.48%","12,369","8"
"04/24","金","3","9","0","0","12","13","92.31%","26,987","104,901","0","131,888","131,967","109.94%","10,991","12"
"04/25","土","4","13","0","0","17","13","130.77%","37,998","165,878","11,102","214,978","131,967","179.2%","12,646","18"
"04/26","日","4","12","0","0","16","13","123.08%","24,171","131,046","8,669","163,886","131,967","136.61%","10,243","16"
"04/27","月","2","11","0","0","13","13","100%","30,908","96,901","4,933","132,742","131,967","110.65%","10,211","13"
"04/28","火","0","8","0","0","8","13","61.54%","25,958","80,242","30,625","136,825","131,967","114.05%","17,103","7"
"04/29","水","5","12","0","0","17","13","130.77%","37,520","116,443","3,878","157,841","131,967","131.57%","9,285","17"
"04/30","木","1","5","0","0","6","13","46.15%","20,209","58,352","7,201","85,762","131,967","71.49%","14,294","6"
"TOTAL","","84","244","0","1","329","370","88.92%","800,360","2,597,092","264,612","3,662,064","3,959,000","92.5%","11,131","327"
