"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"06/01","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"06/02","火","6","10","0","0","16","0","0%","0","0","94,669","94,669","0","0%","5,917","16"
"06/03","水","5","14","0","0","19","0","0%","58,500","0","95,280","153,780","0","0%","8,094","20"
"06/04","木","7","17","0","0","24","0","0%","53,500","0","137,316","190,816","0","0%","7,951","24"
"06/05","金","5","22","0","0","27","0","0%","60,500","0","142,207","202,707","0","0%","7,508","27"
"06/06","土","6","23","0","0","29","0","0%","57,045","0","172,100","229,145","0","0%","7,902","30"
"06/07","日","8","12","0","0","20","0","0%","37,500","0","102,645","140,145","0","0%","7,007","20"
"06/08","月","5","7","0","0","12","0","0%","1,000","0","82,445","83,445","0","0%","6,954","13"
"06/09","火","8","18","0","0","26","0","0%","62,000","0","155,162","217,162","0","0%","8,352","27"
"06/10","水","8","16","0","0","24","0","0%","70,500","0","130,790","201,290","0","0%","8,387","25"
"06/11","木","8","13","0","0","21","0","0%","36,545","0","119,354","155,899","0","0%","7,424","21"
"06/12","金","6","13","0","0","19","0","0%","48,500","0","98,654","147,154","0","0%","7,745","20"
"06/13","土","10","8","0","2","20","0","0%","58,500","0","91,781","150,281","0","0%","7,514","19"
"06/14","日","6","12","0","1","19","0","0%","78,500","0","81,066","159,566","0","0%","8,398","19"
"06/15","月","9","20","0","0","29","0","0%","49,500","0","168,780","218,280","0","0%","7,527","33"
"06/16","火","7","17","0","0","24","0","0%","2,000","0","163,917","165,917","0","0%","6,913","24"
"06/17","水","7","6","0","0","13","0","0%","95,500","0","38,200","133,700","0","0%","10,285","13"
"06/18","木","7","23","0","0","30","0","0%","64,500","0","189,360","253,860","0","0%","8,462","32"
"06/19","金","6","19","0","0","25","0","0%","78,500","0","152,498","230,998","0","0%","9,240","27"
"06/20","土","11","27","0","1","39","0","0%","54,409","0","202,199","256,608","0","0%","6,580","39"
"06/21","日","3","1","0","0","4","0","0%","0","0","29,600","29,600","0","0%","7,400","4"
"06/22","月","6","18","0","2","26","0","0%","63,318","0","153,992","217,310","0","0%","8,358","24"
"06/23","火","8","15","0","0","23","0","0%","64,818","0","121,990","186,808","0","0%","8,122","26"
"06/24","水","12","19","0","0","31","0","0%","35,500","0","172,727","208,227","0","0%","6,717","31"
"06/25","木","4","5","0","0","9","0","0%","500","0","62,091","62,591","0","0%","6,955","9"
"06/26","金","12","20","0","0","32","0","0%","63,909","0","196,080","259,989","0","0%","8,125","34"
"06/27","土","16","22","0","0","38","0","0%","89,136","0","215,115","304,251","0","0%","8,007","39"
"06/28","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","23"
"06/29","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","20"
"06/30","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","22"
"TOTAL","","196","397","0","6","599","0","0%","1,284,180","0","3,370,018","4,654,198","0","0%","7,770","681"
