"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"12/01","金","4","4","0","0","8","0","0%","8,444","0","72,554","80,998","0","0%","10,125","7"
"12/02","土","3","13","0","0","16","0","0%","45,992","0","101,478","147,470","0","0%","9,217","16"
"12/03","日","3","9","0","0","12","0","0%","8,743","0","102,981","111,724","0","0%","9,310","12"
"12/04","月","2","7","0","0","9","0","0%","13,245","0","59,870","73,115","0","0%","8,124","9"
"12/05","火","2","10","0","0","12","0","0%","26,475","0","97,904","124,379","0","0%","10,365","11"
"12/06","水","2","11","0","0","13","0","0%","45,583","0","81,813","127,396","0","0%","9,800","12"
"12/07","木","5","6","0","0","11","0","0%","53,708","0","85,009","138,717","0","0%","12,611","10"
"12/08","金","4","6","0","0","10","0","0%","16,524","0","49,781","66,305","0","0%","6,631","10"
"12/09","土","6","13","0","0","19","0","0%","45,110","0","146,276","191,386","0","0%","10,073","19"
"12/10","日","5","9","0","0","14","0","0%","34,608","0","107,168","141,776","0","0%","10,127","13"
"12/11","月","3","4","0","0","7","0","0%","5,800","0","51,889","57,689","0","0%","8,241","7"
"12/12","火","2","4","0","0","6","0","0%","4,753","0","38,335","43,088","0","0%","7,181","5"
"12/13","水","6","11","0","0","17","0","0%","22,520","0","125,121","147,641","0","0%","8,685","15"
"12/14","木","1","7","0","0","8","0","0%","27,817","0","40,617","68,434","0","0%","8,554","7"
"12/15","金","6","5","0","0","11","0","0%","7,747","0","75,269","83,016","0","0%","7,547","11"
"12/16","土","5","14","0","0","19","0","0%","54,478","0","133,055","187,533","0","0%","9,870","19"
"12/17","日","4","10","0","0","14","0","0%","38,418","0","72,907","111,325","0","0%","7,952","14"
"12/18","月","0","5","0","0","5","0","0%","15,191","0","38,635","53,826","0","0%","10,765","5"
"12/19","火","1","9","0","0","10","0","0%","21,909","0","100,862","122,771","0","0%","12,277","10"
"12/20","水","5","13","0","0","18","0","0%","38,306","0","99,417","137,723","0","0%","7,651","15"
"12/21","木","1","7","0","0","8","0","0%","26,626","0","59,917","86,543","0","0%","10,818","7"
"12/22","金","7","11","0","0","18","0","0%","42,272","0","117,359","159,631","0","0%","8,868","18"
"12/23","土","6","14","0","0","20","0","0%","45,560","0","104,119","149,679","0","0%","7,484","20"
"12/24","日","1","9","0","0","10","0","0%","6,033","0","69,055","75,088","0","0%","7,509","8"
"12/25","月","2","10","0","0","12","0","0%","19,639","0","59,986","79,625","0","0%","6,635","12"
"12/26","火","6","10","0","0","16","0","0%","26,959","0","122,093","149,052","0","0%","9,316","14"
"12/27","水","5","13","0","0","18","0","0%","41,164","0","126,087","167,251","0","0%","9,292","17"
"12/28","木","1","15","0","0","16","0","0%","41,798","0","102,515","144,313","0","0%","9,020","15"
"12/29","金","4","11","0","0","15","0","0%","19,493","0","123,640","143,133","0","0%","9,542","14"
"12/30","土","5","13","0","0","18","0","0%","37,600","0","132,259","169,859","0","0%","9,437","17"
"12/31","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","107","283","0","0","390","0","0%","842,515","0","2,697,971","3,540,486","0","0%","9,078","369"
