"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"11/01","ã‡","2","7","0","0","9","12","75%","12,881","0","83,179","96,060","123,333","85.68%","10,673","9"
"11/02","ìy","1","14","0","0","15","12","125%","6,678","0","173,379","180,057","123,333","160.6%","12,004","15"
"11/03","ì˙","4","12","0","0","16","12","133.33%","15,068","0","140,992","156,060","123,333","139.19%","9,754","16"
"11/04","åé","5","9","0","0","14","12","116.67%","49,194","0","77,256","126,450","123,333","112.78%","9,032","14"
"11/05","âŒ","3","3","0","0","6","12","50%","20,436","0","33,963","54,399","123,333","48.52%","9,067","5"
"11/06","êÖ","1","10","0","0","11","12","91.67%","38,586","0","84,727","123,313","123,333","109.99%","11,210","10"
"11/07","ñÿ","1","7","0","0","8","12","66.67%","16,295","0","70,665","86,960","123,333","77.56%","10,870","8"
"11/08","ã‡","2","6","0","0","8","12","66.67%","7,090","0","62,325","69,415","123,333","61.91%","8,677","7"
"11/09","ìy","5","14","0","0","19","12","158.33%","52,412","0","175,862","228,274","123,333","203.6%","12,014","19"
"11/10","ì˙","0","13","0","0","13","12","108.33%","37,666","0","97,321","134,987","123,333","120.4%","10,384","13"
"11/11","åé","3","8","0","0","11","12","91.67%","68,499","0","60,008","128,507","123,333","114.62%","11,682","11"
"11/12","âŒ","2","7","0","0","9","12","75%","13,984","0","80,759","94,743","123,333","84.5%","10,527","9"
"11/13","êÖ","0","12","0","0","12","12","100%","29,243","0","111,337","140,580","123,333","125.38%","11,715","11"
"11/14","ñÿ","4","4","0","0","8","12","66.67%","31,100","0","49,435","80,535","123,333","71.83%","10,067","8"
"11/15","ã‡","1","8","0","0","9","12","75%","12,650","0","70,851","83,501","123,333","74.48%","9,278","9"
"11/16","ìy","1","14","0","0","15","12","125%","18,063","0","110,616","128,679","123,333","114.77%","8,579","14"
"11/17","ì˙","4","12","0","1","17","12","141.67%","41,749","0","104,612","146,361","123,333","130.54%","8,609","16"
"11/18","åé","3","7","0","0","10","12","83.33%","13,471","0","91,599","105,070","123,333","93.71%","10,507","9"
"11/19","âŒ","2","8","0","0","10","12","83.33%","16,375","0","86,478","102,853","123,333","91.74%","10,285","9"
"11/20","êÖ","1","7","0","0","8","12","66.67%","12,690","0","56,499","69,189","123,333","61.71%","8,649","8"
"11/21","ñÿ","2","4","0","0","6","13","46.15%","2,484","0","65,050","67,534","123,334","60.23%","11,256","6"
"11/22","ã‡","3","6","0","0","9","13","69.23%","21,093","0","68,277","89,370","123,334","79.71%","9,930","9"
"11/23","ìy","7","13","0","0","20","13","153.85%","39,468","0","144,808","184,276","123,334","164.36%","9,214","20"
"11/24","ì˙","6","10","0","0","16","13","123.08%","19,488","0","111,661","131,149","123,334","116.98%","8,197","16"
"11/25","åé","4","10","0","0","14","13","107.69%","29,963","0","98,943","128,906","123,334","114.97%","9,208","13"
"11/26","âŒ","5","5","0","0","10","13","76.92%","3,800","0","97,916","101,716","123,334","90.72%","10,172","7"
"11/27","êÖ","1","9","0","0","10","13","76.92%","7,454","0","77,087","84,541","123,334","75.4%","8,454","10"
"11/28","ñÿ","2","7","0","0","9","13","69.23%","13,429","0","86,286","99,715","123,334","88.94%","11,079","9"
"11/29","ã‡","1","8","0","0","9","13","69.23%","2,977","0","87,911","90,888","123,334","81.06%","10,099","9"
"11/30","ìy","5","17","0","0","22","13","169.23%","23,500","0","168,048","191,548","123,334","170.85%","8,707","21"
"TOTAL","","81","271","0","1","353","370","95.41%","677,786","0","2,827,850","3,505,636","3,700,000","94.75%","9,931","340"
