"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"10/01","火","1","7","0","0","8","11","72.73%","15,934","0","76,664","92,598","116,129","87.71%","11,575","8"
"10/02","水","2","5","0","0","7","11","63.64%","24,881","0","60,699","85,580","116,129","81.07%","12,226","7"
"10/03","木","2","9","0","0","11","11","100%","11,671","0","97,017","108,688","116,129","102.95%","9,881","11"
"10/04","金","2","10","0","0","12","11","109.09%","17,469","0","113,937","131,406","116,129","124.47%","10,951","12"
"10/05","土","0","13","0","0","13","11","118.18%","24,085","0","114,331","138,416","116,129","131.11%","10,647","12"
"10/06","日","2","10","0","0","12","11","109.09%","2,600","0","122,469","125,069","116,129","118.47%","10,422","12"
"10/07","月","1","5","0","0","6","11","54.55%","19,066","0","58,996","78,062","116,129","73.94%","13,010","6"
"10/08","火","3","6","0","0","9","11","81.82%","17,900","0","95,535","113,435","116,129","107.45%","12,604","9"
"10/09","水","1","8","0","0","9","11","81.82%","17,020","0","89,687","106,707","116,129","101.08%","11,856","9"
"10/10","木","2","11","0","0","13","11","118.18%","52,541","0","109,190","161,731","116,129","153.2%","12,441","13"
"10/11","金","1","11","0","0","12","11","109.09%","28,254","0","113,196","141,450","116,129","133.99%","11,788","11"
"10/12","土","5","13","0","0","18","11","163.64%","40,364","0","168,710","209,074","116,129","198.05%","11,615","17"
"10/13","日","0","12","0","0","12","12","100%","20,158","0","101,767","121,925","116,129","115.49%","10,160","12"
"10/14","月","1","8","0","0","9","12","75%","11,153","0","92,534","103,687","116,129","98.22%","11,521","9"
"10/15","火","0","7","0","0","7","12","58.33%","6,600","0","63,434","70,034","116,129","66.34%","10,005","7"
"10/16","水","0","10","0","0","10","12","83.33%","23,100","0","102,133","125,233","116,129","118.63%","12,523","9"
"10/17","木","2","7","0","1","10","12","83.33%","17,949","0","113,602","131,551","116,129","124.61%","13,155","9"
"10/18","金","2","8","0","0","10","12","83.33%","17,442","0","108,474","125,916","116,129","119.27%","12,592","10"
"10/19","土","3","19","0","0","22","12","183.33%","57,342","0","154,253","211,595","116,129","200.43%","9,618","21"
"10/20","日","2","8","0","0","10","12","83.33%","26,138","0","51,540","77,678","116,129","73.58%","7,768","10"
"10/21","月","3","7","0","0","10","12","83.33%","12,196","0","62,247","74,443","116,129","70.52%","7,444","9"
"10/22","火","1","6","0","0","7","12","58.33%","19,600","0","73,780","93,380","116,129","88.45%","13,340","8"
"10/23","水","3","8","0","0","11","12","91.67%","25,462","0","107,053","132,515","116,129","125.52%","12,047","11"
"10/24","木","4","7","0","1","12","12","100%","31,500","0","101,098","132,598","116,129","125.6%","11,050","11"
"10/25","金","3","6","0","0","9","12","75%","10,138","0","72,887","83,025","116,129","78.65%","9,225","9"
"10/26","土","1","20","0","0","21","12","175%","64,600","0","196,421","261,021","116,129","247.25%","12,430","19"
"10/27","日","4","13","0","0","17","12","141.67%","24,200","0","102,469","126,669","116,129","119.99%","7,451","17"
"10/28","月","2","4","0","0","6","12","50%","20,900","0","44,963","65,863","116,129","62.39%","10,977","6"
"10/29","火","4","10","0","0","14","12","116.67%","22,581","0","117,233","139,814","116,129","132.44%","9,987","12"
"10/30","水","1","6","0","0","7","12","58.33%","7,600","0","68,389","75,989","116,129","71.98%","10,856","5"
"10/31","木","0","11","0","0","11","12","91.67%","3,718","0","106,369","110,087","116,130","104.28%","10,008","10"
"TOTAL","","58","285","0","2","345","360","95.83%","694,162","0","3,061,077","3,755,239","3,600,000","104.31%","10,885","331"
