"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"12/01","ñÿ","0","2","0","1","3","10","30%","3,000","0","30,081","33,081","106,451","34.18%","11,027","2"
"12/02","ã‡","1","4","0","1","6","10","60%","12,068","0","36,639","48,707","106,451","50.33%","8,118","5"
"12/03","ìy","7","2","0","0","9","10","90%","18,617","0","35,108","53,725","106,451","55.52%","5,969","9"
"12/04","ì˙","7","9","0","0","16","10","160%","21,981","0","103,278","125,259","106,451","129.44%","7,829","16"
"12/05","åé","3","3","0","0","6","10","60%","4,172","0","43,709","47,881","106,451","49.48%","7,980","5"
"12/06","âŒ","5","2","0","0","7","10","70%","43,386","0","37,011","80,397","106,451","83.08%","11,485","7"
"12/07","êÖ","0","7","0","1","8","10","80%","29,956","0","67,688","97,644","106,451","100.9%","12,206","7"
"12/08","ñÿ","3","2","0","0","5","10","50%","13,544","0","35,990","49,534","106,451","51.19%","9,907","5"
"12/09","ã‡","10","4","0","0","14","10","140%","23,385","0","89,357","112,742","106,451","116.5%","8,053","13"
"12/10","ìy","10","9","0","0","19","10","190%","40,857","0","101,683","142,540","106,451","147.3%","7,502","18"
"12/11","ì˙","5","5","0","0","10","10","100%","11,663","0","59,669","71,332","106,451","73.71%","7,133","10"
"12/12","åé","4","5","0","0","9","11","81.82%","9,287","0","81,719","91,006","106,451","94.04%","10,112","9"
"12/13","âŒ","2","7","0","0","9","11","81.82%","17,274","0","61,605","78,879","106,452","81.51%","8,764","9"
"12/14","êÖ","3","4","0","0","7","11","63.64%","23,254","0","36,798","60,052","106,452","62.06%","8,579","7"
"12/15","ñÿ","3","6","0","0","9","11","81.82%","39,704","0","54,561","94,265","106,452","97.41%","10,474","9"
"12/16","ã‡","3","11","0","1","15","11","136.36%","19,975","0","54,039","74,014","106,452","76.49%","4,934","13"
"12/17","ìy","4","6","0","0","10","11","90.91%","57,590","0","50,142","107,732","106,452","111.33%","10,773","10"
"12/18","ì˙","2","7","0","0","9","11","81.82%","15,400","0","85,296","100,696","106,452","104.06%","11,188","9"
"12/19","åé","1","7","0","0","8","11","72.73%","20,300","0","48,398","68,698","106,452","70.99%","8,587","8"
"12/20","âŒ","4","6","0","0","10","11","90.91%","29,554","0","52,716","82,270","106,452","85.01%","8,227","10"
"12/21","êÖ","2","6","0","0","8","11","72.73%","7,986","0","66,248","74,234","106,452","76.71%","9,279","8"
"12/22","ñÿ","2","6","0","0","8","11","72.73%","5,063","0","62,261","67,324","106,452","69.57%","8,416","8"
"12/23","ã‡","3","4","0","0","7","11","63.64%","4,318","0","54,379","58,697","106,452","60.66%","8,385","6"
"12/24","ìy","3","5","0","0","8","11","72.73%","25,482","0","75,752","101,234","106,452","104.61%","12,654","8"
"12/25","ì˙","0","5","0","0","5","11","45.45%","9,000","0","29,362","38,362","106,452","39.64%","7,672","5"
"12/26","åé","0","5","0","0","5","11","45.45%","22,523","0","11,145","33,668","106,452","34.79%","6,734","5"
"12/27","âŒ","2","7","0","0","9","11","81.82%","53,600","0","35,589","89,189","106,452","92.16%","9,910","10"
"12/28","êÖ","0","5","0","0","5","11","45.45%","4,993","0","50,996","55,989","106,452","57.86%","11,198","4"
"12/29","ñÿ","0","5","0","1","6","11","54.55%","32,144","0","19,445","51,589","106,452","53.31%","8,598","5"
"12/30","ã‡","3","5","0","0","8","11","72.73%","7,292","0","77,187","84,479","106,452","87.3%","10,560","8"
"12/31","ìy","0","0","0","0","0","11","0%","0","0","0","0","106,452","0%","0","0"
"TOTAL","","92","161","0","5","258","330","78.18%","627,368","0","1,647,851","2,275,219","3,300,000","68.95%","8,819","248"
