"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"02/01","日","5","8","0","0","13","12","108.33%","16,300","78,534","5,000","99,834","127,500","86.13%","7,680","13"
"02/02","月","2","6","0","0","8","12","66.67%","7,500","28,089","13,200","48,789","127,500","42.09%","6,099","7"
"02/03","火","2","5","0","0","7","12","58.33%","25,570","63,992","0","89,562","127,500","77.27%","12,795","7"
"02/04","水","2","4","0","0","6","12","50%","22,967","32,760","18,125","73,852","127,500","63.72%","12,309","5"
"02/05","木","1","6","0","0","7","12","58.33%","22,484","65,485","0","87,969","127,500","75.9%","12,567","7"
"02/06","金","1","10","0","0","11","12","91.67%","13,251","106,427","0","119,678","127,500","103.25%","10,880","11"
"02/07","土","3","13","0","0","16","12","133.33%","51,016","105,389","0","156,405","127,500","134.94%","9,775","16"
"02/08","日","2","10","0","0","12","12","100%","7,275","85,594","0","92,869","127,500","80.13%","7,739","12"
"02/09","月","1","4","0","0","5","12","41.67%","27,877","35,147","4,620","67,644","127,500","58.36%","13,529","5"
"02/10","火","2","8","0","0","10","12","83.33%","3,485","107,192","19,374","130,051","127,500","112.2%","13,005","9"
"02/11","水","7","9","0","0","16","12","133.33%","14,472","139,677","0","154,149","127,500","133%","9,634","16"
"02/12","木","2","11","0","0","13","12","108.33%","12,122","100,224","39,513","151,859","127,500","131.02%","11,681","12"
"02/13","金","3","8","0","0","11","12","91.67%","15,665","113,468","0","129,133","127,500","111.41%","11,739","11"
"02/14","土","4","10","0","0","14","12","116.67%","65,560","111,682","0","177,242","127,500","152.92%","12,660","14"
"02/15","日","2","10","0","0","12","12","100%","22,281","112,678","0","134,959","127,500","116.44%","11,247","12"
"02/16","月","1","7","0","1","9","12","75%","1,471","68,185","40,687","110,343","127,500","95.2%","12,260","6"
"02/17","火","2","12","0","1","15","12","125%","34,229","109,947","30,675","174,851","127,500","150.85%","11,657","13"
"02/18","水","0","14","0","0","14","12","116.67%","31,347","105,176","13,101","149,624","127,500","129.09%","10,687","13"
"02/19","木","2","6","0","0","8","12","66.67%","14,709","58,635","4,200","77,544","127,500","66.9%","9,693","7"
"02/20","金","2","9","0","0","11","12","91.67%","25,131","101,257","4,000","130,388","127,500","112.49%","11,853","11"
"02/21","土","2","15","0","0","17","12","141.67%","42,226","164,628","9,479","216,333","127,500","186.64%","12,725","18"
"02/22","日","2","11","0","0","13","12","108.33%","11,272","124,265","22,703","158,240","127,500","136.53%","12,172","13"
"02/23","月","3","13","0","0","16","12","133.33%","30,972","101,825","7,536","140,333","127,500","121.07%","8,771","15"
"02/24","火","1","7","0","0","8","12","66.67%","14,401","74,206","0","88,607","127,500","76.45%","11,076","8"
"02/25","水","0","6","0","0","6","13","46.15%","11,221","49,031","0","60,252","127,500","51.98%","10,042","6"
"02/26","木","0","7","0","0","7","13","53.85%","7,981","48,787","37,057","93,825","127,500","80.95%","13,404","6"
"02/27","金","3","3","0","0","6","13","46.15%","4,000","73,526","2,000","79,526","127,500","68.61%","13,254","6"
"02/28","土","3","20","0","0","23","13","176.92%","43,436","169,302","9,681","222,419","127,500","191.9%","9,670","21"
"TOTAL","","60","252","0","2","314","340","92.35%","600,221","2,535,108","280,951","3,416,280","3,570,000","95.69%","10,880","300"
