"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"08/01","月","5","3","0","0","8","0","0%","23,085","0","46,840","69,925","0","0%","8,741","9"
"08/02","火","3","7","0","0","10","0","0%","57,691","0","57,199","114,890","0","0%","11,489","8"
"08/03","水","1","4","0","1","6","0","0%","39,791","0","28,945","68,736","0","0%","11,456","5"
"08/04","木","3","4","0","0","7","0","0%","26,654","0","42,181","68,835","0","0%","9,834","7"
"08/05","金","3","2","0","0","5","0","0%","6,863","0","27,835","34,698","0","0%","6,940","5"
"08/06","土","5","4","0","0","9","0","0%","32,410","0","46,633","79,043","0","0%","8,783","9"
"08/07","日","4","5","0","0","9","0","0%","23,770","0","47,992","71,762","0","0%","7,974","9"
"08/08","月","5","4","0","0","9","0","0%","13,450","0","75,766","89,216","0","0%","9,913","8"
"08/09","火","9","2","0","0","11","0","0%","13,713","0","85,439","99,152","0","0%","9,014","11"
"08/10","水","3","3","0","0","6","0","0%","21,300","0","40,708","62,008","0","0%","10,335","6"
"08/11","木","3","6","0","0","9","0","0%","15,254","0","54,707","69,961","0","0%","7,773","9"
"08/12","金","2","2","0","0","4","0","0%","15,726","0","25,091","40,817","0","0%","10,204","4"
"08/13","土","0","3","0","0","3","0","0%","20,263","0","0","20,263","0","0%","6,754","3"
"08/14","日","3","5","0","0","8","0","0%","24,272","0","59,880","84,152","0","0%","10,519","8"
"08/15","月","4","7","0","0","11","0","0%","32,261","0","81,664","113,925","0","0%","10,357","10"
"08/16","火","5","4","0","0","9","0","0%","22,000","0","69,434","91,434","0","0%","10,159","10"
"08/17","水","2","1","0","0","3","0","0%","7,772","0","19,472","27,244","0","0%","9,081","3"
"08/18","木","1","3","0","0","4","0","0%","16,236","0","21,581","37,817","0","0%","9,454","4"
"08/19","金","1","4","0","0","5","0","0%","31,139","0","16,441","47,580","0","0%","9,516","5"
"08/20","土","0","5","0","0","5","0","0%","17,071","0","30,800","47,871","0","0%","9,574","4"
"08/21","日","2","1","0","0","3","0","0%","9,000","0","19,472","28,472","0","0%","9,491","3"
"08/22","月","1","1","0","0","2","0","0%","5,000","0","17,209","22,209","0","0%","11,105","1"
"08/23","火","2","3","0","0","5","0","0%","24,654","0","16,808","41,462","0","0%","8,292","4"
"08/24","水","4","2","0","0","6","0","0%","5,494","0","51,422","56,916","0","0%","9,486","6"
"08/25","木","7","2","0","0","9","0","0%","11,227","0","55,379","66,606","0","0%","7,401","9"
"08/26","金","6","1","0","0","7","0","0%","25,554","0","39,872","65,426","0","0%","9,347","7"
"08/27","土","5","4","0","0","9","0","0%","32,342","0","51,310","83,652","0","0%","9,295","9"
"08/28","日","4","8","0","1","13","0","0%","23,961","0","81,054","105,015","0","0%","8,078","11"
"08/29","月","3","0","0","0","3","0","0%","5,000","0","29,289","34,289","0","0%","11,430","3"
"08/30","火","2","3","0","0","5","0","0%","19,572","0","15,217","34,789","0","0%","6,958","3"
"08/31","水","1","5","0","1","7","0","0%","17,345","0","44,334","61,679","0","0%","8,811","6"
"TOTAL","","99","108","0","3","210","0","0%","639,870","0","1,299,974","1,939,844","0","0%","9,237","199"
