"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"08/01","火","0","7","0","0","7","0","0%","20,118","0","42,180","62,298","0","0%","8,900","7"
"08/02","水","3","7","0","0","10","0","0%","30,300","0","50,717","81,017","0","0%","8,102","8"
"08/03","木","1","8","0","0","9","0","0%","17,456","0","77,233","94,689","0","0%","10,521","9"
"08/04","金","4","5","0","0","9","0","0%","15,981","0","67,399","83,380","0","0%","9,264","9"
"08/05","土","8","10","0","0","18","0","0%","28,848","0","106,213","135,061","0","0%","7,503","18"
"08/06","日","4","7","0","0","11","0","0%","51,786","0","55,757","107,543","0","0%","9,777","11"
"08/07","月","3","5","0","0","8","0","0%","30,508","0","35,817","66,325","0","0%","8,291","8"
"08/08","火","1","8","0","0","9","0","0%","51,527","0","48,289","99,816","0","0%","11,091","8"
"08/09","水","3","4","0","0","7","0","0%","15,329","0","79,732","95,061","0","0%","13,580","7"
"08/10","木","7","4","0","0","11","0","0%","17,927","0","93,733","111,660","0","0%","10,151","11"
"08/11","金","2","6","0","0","8","0","0%","12,610","0","63,233","75,843","0","0%","9,480","8"
"08/12","土","6","10","0","0","16","0","0%","55,736","0","85,097","140,833","0","0%","8,802","16"
"08/13","日","3","5","0","0","8","0","0%","21,969","0","34,575","56,544","0","0%","7,068","8"
"08/14","月","2","7","0","0","9","0","0%","11,436","0","42,817","54,253","0","0%","6,028","6"
"08/15","火","2","6","0","0","8","0","0%","31,754","0","27,518","59,272","0","0%","7,409","8"
"08/16","水","4","6","0","0","10","0","0%","13,500","0","90,533","104,033","0","0%","10,403","10"
"08/17","木","5","4","0","0","9","0","0%","16,911","0","74,658","91,569","0","0%","10,174","9"
"08/18","金","3","5","0","0","8","0","0%","18,438","0","50,297","68,735","0","0%","8,592","8"
"08/19","土","6","9","0","0","15","0","0%","32,172","0","99,161","131,333","0","0%","8,756","15"
"08/20","日","11","2","0","0","13","0","0%","30,509","0","56,690","87,199","0","0%","6,708","13"
"08/21","月","2","5","0","0","7","0","0%","1,700","0","54,552","56,252","0","0%","8,036","7"
"08/22","火","2","2","0","0","4","0","0%","12,045","0","27,835","39,880","0","0%","9,970","4"
"08/23","水","3","4","0","0","7","0","0%","30,847","0","56,460","87,307","0","0%","12,472","6"
"08/24","木","2","8","0","0","10","0","0%","29,942","0","54,856","84,798","0","0%","8,480","10"
"08/25","金","0","5","0","1","6","0","0%","10,754","0","56,044","66,798","0","0%","11,133","5"
"08/26","土","3","14","0","0","17","0","0%","23,859","0","106,018","129,877","0","0%","7,640","17"
"08/27","日","2","10","0","0","12","0","0%","18,810","0","75,634","94,444","0","0%","7,870","11"
"08/28","月","4","5","0","0","9","0","0%","29,190","0","25,381","54,571","0","0%","6,063","9"
"08/29","火","2","7","0","0","9","0","0%","38,761","0","54,547","93,308","0","0%","10,368","7"
"08/30","水","0","7","0","0","7","0","0%","35,638","0","64,252","99,890","0","0%","14,270","6"
"08/31","木","1","4","0","1","6","0","0%","14,961","0","48,028","62,989","0","0%","10,498","5"
"TOTAL","","99","196","0","2","297","0","0%","771,322","0","1,905,256","2,676,578","0","0%","9,012","284"
