"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"02/01","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/02","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/03","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/04","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/05","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/06","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/07","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/08","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/09","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/10","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/11","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/12","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/13","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/14","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/15","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/16","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/17","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/18","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/19","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/20","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/21","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/22","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/23","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/24","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/25","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/26","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/27","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/28","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"02/29","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
