"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"12/01","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/02","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/03","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/04","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/05","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/06","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/07","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/08","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/09","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/10","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/11","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/12","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/13","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/14","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/15","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/16","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/17","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/18","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/19","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/20","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/21","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/22","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/23","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/24","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/25","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/26","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/27","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/28","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/29","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/30","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"12/31","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
