"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"08/01","ìy","1","17","0","1","19","11","172.73%","50,922","155,633","19,523","226,078","129,516","192.01%","11,899","18"
"08/02","ì˙","0","17","0","0","17","11","154.55%","29,030","172,410","14,008","215,448","129,516","182.99%","12,673","17"
"08/03","åé","5","4","0","0","9","11","81.82%","36,192","36,480","0","72,672","129,516","61.72%","8,075","10"
"08/04","âŒ","1","13","0","0","14","11","127.27%","23,930","118,486","12,381","154,797","129,516","131.47%","11,057","13"
"08/05","êÖ","5","7","0","0","12","11","109.09%","11,457","72,698","11,578","95,733","129,516","81.31%","7,978","12"
"08/06","ñÿ","2","7","0","0","9","11","81.82%","10,970","64,619","0","75,589","129,516","64.2%","8,399","9"
"08/07","ã‡","3","6","0","0","9","11","81.82%","26,288","49,020","0","75,308","129,516","63.96%","8,368","9"
"08/08","ìy","0","14","0","0","14","12","116.67%","44,047","91,609","17,543","153,199","129,516","130.12%","10,943","14"
"08/09","ì˙","0","13","0","0","13","12","108.33%","23,235","115,244","4,254","142,733","129,516","121.23%","10,979","13"
"08/10","åé","2","7","0","0","9","12","75%","5,709","76,280","11,899","93,888","129,516","79.74%","10,432","9"
"08/11","âŒ","2","15","0","0","17","12","141.67%","12,809","130,894","6,256","149,959","129,516","127.37%","8,821","17"
"08/12","êÖ","0","6","0","0","6","12","50%","27,054","27,327","0","54,381","129,516","46.19%","9,064","6"
"08/13","ñÿ","2","4","0","0","6","12","50%","32,699","22,480","6,529","61,708","129,516","52.41%","10,285","6"
"08/14","ã‡","1","6","0","0","7","12","58.33%","2,958","71,340","0","74,298","129,516","63.1%","10,614","7"
"08/15","ìy","0","15","0","0","15","12","125%","41,489","130,918","15,390","187,797","129,516","159.5%","12,520","15"
"08/16","ì˙","3","6","0","0","9","12","75%","13,262","77,584","8,024","98,870","129,516","83.97%","10,986","9"
"08/17","åé","1","6","0","0","7","12","58.33%","7,781","29,164","1,436","38,381","129,516","32.6%","5,483","6"
"08/18","âŒ","0","8","0","0","8","12","66.67%","30,985","62,417","2,069","95,471","129,516","81.09%","11,934","8"
"08/19","êÖ","3","7","0","1","11","12","91.67%","20,054","81,734","71,691","173,479","129,516","147.34%","15,771","10"
"08/20","ñÿ","1","5","0","0","6","12","50%","21,984","34,033","3,281","59,298","129,516","50.36%","9,883","6"
"08/21","ã‡","3","6","0","0","9","12","75%","30,218","59,514","10,403","100,135","129,516","85.05%","11,126","9"
"08/22","ìy","1","11","0","0","12","12","100%","8,590","126,825","28,062","163,477","129,516","138.85%","13,623","14"
"08/23","ì˙","3","10","0","0","13","12","108.33%","23,813","100,448","3,881","128,142","129,516","108.84%","9,857","13"
"08/24","åé","1","5","0","0","6","12","50%","16,594","30,480","1,480","48,554","129,516","41.24%","8,092","6"
"08/25","âŒ","2","8","0","1","11","12","91.67%","20,543","112,494","60,487","193,524","129,516","164.37%","17,593","9"
"08/26","êÖ","1","9","0","0","10","12","83.33%","4,921","80,240","6,873","92,034","129,516","78.17%","9,203","9"
"08/27","ñÿ","2","6","0","0","8","12","66.67%","11,305","61,920","2,200","75,425","129,516","64.06%","9,428","8"
"08/28","ã‡","0","5","0","0","5","12","41.67%","9,793","59,179","16,400","85,372","129,517","72.51%","17,074","5"
"08/29","ìy","4","9","0","0","13","12","108.33%","35,678","120,233","27,449","183,360","129,517","155.73%","14,105","13"
"08/30","ì˙","0","0","0","0","0","12","0%","0","0","0","0","129,517","0%","0","9"
"08/31","åé","0","0","0","0","0","12","0%","0","0","0","0","129,517","0%","0","5"
"TOTAL","","49","252","0","3","304","365","83.29%","634,310","2,371,703","363,097","3,369,110","4,015,000","83.91%","11,083","314"
