"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"03/01","日","2","6","0","0","8","25","32%","42,227","0","31,700","73,927","209,677","38.78%","9,241","9"
"03/02","月","9","18","0","0","27","25","108%","92,000","0","129,191","221,191","209,677","116.04%","8,192","28"
"03/03","火","12","17","0","0","29","25","116%","80,500","0","137,415","217,915","209,677","114.32%","7,514","30"
"03/04","水","14","16","0","0","30","25","120%","114,500","0","122,791","237,291","209,677","124.49%","7,910","33"
"03/05","木","20","20","0","0","40","25","160%","119,409","0","175,863","295,272","209,677","154.9%","7,382","41"
"03/06","金","8","18","0","0","26","25","104%","62,500","0","99,035","161,535","209,677","84.74%","6,213","27"
"03/07","土","14","19","0","0","33","26","126.92%","64,000","0","149,081","213,081","209,677","111.79%","6,457","34"
"03/08","日","4","9","0","0","13","26","50%","42,727","0","57,963","100,690","209,677","52.82%","7,745","14"
"03/09","月","4","23","0","0","27","26","103.85%","46,500","0","155,838","202,338","209,677","106.15%","7,494","27"
"03/10","火","17","22","0","0","39","26","150%","105,500","0","178,078","283,578","209,677","148.77%","7,271","39"
"03/11","水","14","12","0","0","26","26","100%","79,500","0","113,300","192,800","209,677","101.15%","7,415","27"
"03/12","木","18","30","0","0","48","26","184.62%","121,500","0","208,161","329,661","209,677","172.95%","6,868","49"
"03/13","金","7","13","0","0","20","26","76.92%","63,300","0","80,253","143,553","209,677","75.31%","7,178","22"
"03/14","土","6","14","0","0","20","26","76.92%","63,500","0","120,726","184,226","209,677","96.65%","9,211","24"
"03/15","日","3","12","0","0","15","26","57.69%","59,500","0","62,431","121,931","209,677","63.97%","8,129","15"
"03/16","月","13","20","0","0","33","26","126.92%","95,000","0","173,734","268,734","209,677","140.98%","8,143","33"
"03/17","火","5","20","0","0","25","26","96.15%","33,500","0","126,752","160,252","209,677","84.07%","6,410","26"
"03/18","水","13","12","0","1","26","26","100%","110,000","0","86,954","196,954","209,677","103.33%","7,575","26"
"03/19","木","11","24","0","0","35","26","134.62%","77,909","0","138,407","216,316","209,678","113.48%","6,180","36"
"03/20","金","20","21","0","0","41","26","157.69%","125,545","0","171,863","297,408","209,678","156.02%","7,254","42"
"03/21","土","10","20","0","0","30","26","115.38%","86,500","0","188,542","275,042","209,678","144.29%","9,168","32"
"03/22","日","4","12","0","0","16","26","61.54%","0","0","110,091","110,091","209,678","57.76%","6,881","16"
"03/23","月","11","15","0","1","27","26","103.85%","60,409","0","133,624","194,033","209,678","101.79%","7,186","27"
"03/24","火","18","26","0","0","44","26","169.23%","129,909","0","189,298","319,207","209,678","167.46%","7,255","45"
"03/25","水","12","18","0","0","30","26","115.38%","111,500","0","92,800","204,300","209,678","107.18%","6,810","31"
"03/26","木","6","19","0","1","26","26","100%","37,500","0","154,964","192,464","209,678","100.97%","7,402","25"
"03/27","金","9","26","0","0","35","26","134.62%","113,818","0","187,378","301,196","209,678","158.01%","8,606","36"
"03/28","土","6","14","0","0","20","26","76.92%","53,500","0","89,100","142,600","209,678","74.81%","7,130","21"
"03/29","日","10","10","0","0","20","26","76.92%","43,500","0","80,681","124,181","209,678","65.15%","6,209","20"
"03/30","月","9","13","0","1","23","26","88.46%","500","0","140,236","140,736","209,678","73.83%","6,119","22"
"03/31","火","5","21","0","0","26","26","100%","100,500","0","117,506","218,006","209,678","114.37%","8,385","27"
"TOTAL","","314","540","0","4","858","800","107.25%","2,336,753","0","4,003,756","6,340,509","6,500,000","97.55%","7,390","884"
