"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"01/01","ñÿ","0","0","0","0","0","11","0%","0","0","0","0","118,548","0%","0","0"
"01/02","ã‡","0","0","0","0","0","11","0%","0","0","0","0","118,548","0%","0","0"
"01/03","ìy","0","0","0","0","0","11","0%","0","0","0","0","118,548","0%","0","0"
"01/04","ì˙","2","5","0","1","8","11","72.73%","18,795","67,401","9,594","95,790","118,548","88.88%","11,974","6"
"01/05","åé","3","8","0","0","11","11","100%","40,325","67,663","2,600","110,588","118,548","102.62%","10,053","11"
"01/06","âŒ","1","15","0","0","16","11","145.45%","15,477","112,728","37,645","165,850","118,548","153.9%","10,366","13"
"01/07","êÖ","2","9","0","0","11","11","100%","34,524","64,622","21,807","120,953","118,548","112.23%","10,996","10"
"01/08","ñÿ","5","7","0","1","13","11","118.18%","40,834","86,838","16,279","143,951","118,548","133.57%","11,073","12"
"01/09","ã‡","2","4","0","0","6","11","54.55%","10,493","61,969","0","72,462","118,548","67.24%","12,077","6"
"01/10","ìy","9","6","0","1","16","11","145.45%","55,481","99,653","49,325","204,459","118,548","189.72%","12,779","15"
"01/11","ì˙","6","10","0","0","16","11","145.45%","18,454","93,051","2,272","113,777","118,548","105.58%","7,111","15"
"01/12","åé","4","10","0","0","14","11","127.27%","16,900","109,478","472","126,850","118,548","117.71%","9,061","13"
"01/13","âŒ","1","6","0","0","7","11","63.64%","13,197","53,619","9,500","76,316","118,548","70.82%","10,902","7"
"01/14","êÖ","1","4","0","0","5","11","45.45%","17,967","17,087","0","35,054","118,548","32.53%","7,011","5"
"01/15","ñÿ","1","7","0","0","8","11","72.73%","18,546","61,107","5,271","84,924","118,548","78.8%","10,616","9"
"01/16","ã‡","0","3","0","0","3","11","27.27%","1,452","37,247","2,500","41,199","118,548","38.23%","13,733","3"
"01/17","ìy","5","17","0","0","22","11","200%","55,473","108,450","8,000","171,923","118,548","159.53%","7,815","22"
"01/18","ì˙","4","11","0","0","15","11","136.36%","29,758","95,066","0","124,824","118,548","115.83%","8,322","15"
"01/19","åé","3","4","0","0","7","11","63.64%","3,001","78,232","0","81,233","118,548","75.38%","11,605","7"
"01/20","âŒ","1","5","0","1","7","11","63.64%","19,453","42,468","15,231","77,152","118,549","71.59%","11,022","6"
"01/21","êÖ","0","1","0","0","1","11","9.09%","0","0","18,100","18,100","118,549","16.79%","18,100","0"
"01/22","ñÿ","3","7","0","0","10","11","90.91%","10,479","80,291","0","90,770","118,549","84.23%","9,077","10"
"01/23","ã‡","1","6","0","0","7","12","58.33%","14,086","52,469","6,961","73,516","118,549","68.22%","10,502","6"
"01/24","ìy","7","11","0","0","18","12","150%","58,990","108,633","7,390","175,013","118,549","162.4%","9,723","18"
"01/25","ì˙","2","12","0","0","14","12","116.67%","19,658","105,193","5,907","130,758","118,549","121.33%","9,340","14"
"01/26","åé","1","12","0","0","13","12","108.33%","20,820","121,831","0","142,651","118,549","132.37%","10,973","13"
"01/27","âŒ","3","8","0","0","11","12","91.67%","5,786","109,864","0","115,650","118,549","107.31%","10,514","11"
"01/28","êÖ","1","6","0","0","7","12","58.33%","21,979","48,110","0","70,089","118,549","65.04%","10,013","7"
"01/29","ñÿ","0","6","0","0","6","12","50%","42,337","44,506","0","86,843","118,549","80.58%","14,474","6"
"01/30","ã‡","1","9","0","0","10","12","83.33%","8,300","72,271","31,400","111,971","118,549","103.9%","11,197","9"
"01/31","ìy","4","13","0","0","17","12","141.67%","23,722","123,664","0","147,386","118,549","136.76%","8,670","17"
"TOTAL","","73","222","0","4","299","350","85.43%","636,287","2,123,511","250,254","3,010,052","3,675,000","81.91%","10,067","286"
