"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"11/01","ìy","19","13","0","0","32","31","103.23%","69,600","0","143,709","213,309","217,000","108.13%","6,666","32"
"11/02","ì˙","11","22","0","0","33","31","106.45%","91,900","0","158,016","249,916","217,000","126.69%","7,573","34"
"11/03","åé","20","16","0","0","36","31","116.13%","111,500","0","164,453","275,953","217,000","139.88%","7,665","37"
"11/04","âŒ","3","4","0","0","7","31","22.58%","0","0","35,500","35,500","217,000","18%","5,071","7"
"11/05","êÖ","8","7","0","0","15","31","48.39%","0","0","78,000","78,000","217,000","39.54%","5,200","16"
"11/06","ñÿ","5","6","0","0","11","31","35.48%","0","0","61,109","61,109","217,000","30.98%","5,555","11"
"11/07","ã‡","1","6","0","0","7","31","22.58%","0","0","39,454","39,454","217,000","20%","5,636","7"
"11/08","ìy","7","3","0","0","10","31","32.26%","0","0","56,454","56,454","217,000","28.62%","5,645","11"
"11/09","ì˙","16","19","0","0","35","31","112.9%","75,000","0","174,753","249,753","217,000","126.6%","7,136","37"
"11/10","åé","14","24","0","0","38","31","122.58%","62,300","0","227,025","289,325","217,000","146.66%","7,614","40"
"11/11","âŒ","15","23","0","0","38","31","122.58%","94,000","0","176,742","270,742","217,000","137.24%","7,125","38"
"11/12","êÖ","16","20","0","0","36","31","116.13%","80,000","0","163,545","243,545","217,000","123.46%","6,765","37"
"11/13","ñÿ","9","15","0","0","24","31","77.42%","83,900","0","108,017","191,917","217,000","97.29%","7,997","24"
"11/14","ã‡","15","24","0","0","39","31","125.81%","70,000","0","174,999","244,999","217,000","124.19%","6,282","39"
"11/15","ìy","16","25","0","0","41","31","132.26%","88,000","0","200,681","288,681","217,000","146.34%","7,041","43"
"11/16","ì˙","21","14","0","0","35","31","112.9%","93,000","0","172,190","265,190","217,000","134.43%","7,577","35"
"11/17","åé","10","15","0","0","25","31","80.65%","79,000","0","83,772","162,772","217,000","82.51%","6,511","25"
"11/18","âŒ","17","12","0","0","29","31","93.55%","68,200","0","129,180","197,380","217,000","100.06%","6,806","30"
"11/19","êÖ","7","13","0","0","20","31","64.52%","0","0","142,990","142,990","217,000","72.48%","7,150","21"
"11/20","ñÿ","12","20","0","0","32","31","103.23%","77,500","0","165,943","243,443","217,000","123.41%","7,608","33"
"11/21","ã‡","12","20","0","0","32","31","103.23%","32,500","0","152,535","185,035","217,000","93.8%","5,782","33"
"11/22","ìy","16","15","0","0","31","31","100%","44,500","0","166,189","210,689","217,000","106.8%","6,796","31"
"11/23","ì˙","8","5","0","0","13","31","41.94%","0","0","83,927","83,927","217,000","42.54%","6,456","14"
"11/24","åé","6","22","0","0","28","31","90.32%","72,000","0","130,067","202,067","217,000","102.43%","7,217","28"
"11/25","âŒ","13","18","0","0","31","31","100%","71,500","0","142,498","213,998","217,000","108.48%","6,903","31"
"11/26","êÖ","10","17","0","0","27","31","87.1%","48,000","0","127,236","175,236","217,000","88.83%","6,490","27"
"11/27","ñÿ","12","11","0","0","23","31","74.19%","65,500","0","72,681","138,181","217,000","70.05%","6,008","23"
"11/28","ã‡","14","23","0","0","37","31","119.35%","136,000","0","150,809","286,809","217,000","145.39%","7,752","37"
"11/29","ìy","15","16","0","0","31","31","100%","66,409","0","132,135","198,544","217,000","100.65%","6,405","31"
"11/30","ì˙","14","17","0","0","31","31","100%","86,000","0","151,126","237,126","217,000","120.2%","7,649","33"
"TOTAL","","362","465","0","0","827","930","88.92%","1,766,309","0","3,965,735","5,732,044","6,510,000","88.05%","6,931","845"
