"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"05/01","ñÿ","0","10","0","0","10","13","76.92%","15,600","92,542","6,600","114,742","137,177","92.01%","11,474","9"
"05/02","ã‡","0","9","0","1","10","13","76.92%","24,631","54,584","38,709","117,924","137,177","94.56%","11,792","9"
"05/03","ìy","1","14","0","0","15","13","115.38%","23,426","123,723","15,600","162,749","137,177","130.51%","10,850","16"
"05/04","ì˙","3","11","0","0","14","13","107.69%","40,176","88,911","0","129,087","137,177","103.52%","9,221","14"
"05/05","åé","5","14","0","0","19","13","146.15%","48,816","120,407","0","169,223","137,177","135.7%","8,906","19"
"05/06","âŒ","8","10","0","0","18","13","138.46%","33,100","147,888","4,800","185,788","137,177","148.98%","10,322","18"
"05/07","êÖ","1","4","0","0","5","13","38.46%","1,470","55,356","0","56,826","137,177","45.57%","11,365","5"
"05/08","ñÿ","4","11","0","0","15","13","115.38%","18,480","79,799","35,300","133,579","137,177","107.12%","8,905","13"
"05/09","ã‡","4","5","0","0","9","13","69.23%","61,948","41,550","0","103,498","137,177","82.99%","11,500","9"
"05/10","ìy","5","16","0","0","21","13","161.54%","16,218","167,849","4,000","188,067","137,177","150.81%","8,956","21"
"05/11","ì˙","5","13","0","0","18","13","138.46%","39,500","103,324","15,272","158,096","137,177","126.78%","8,783","17"
"05/12","åé","2","5","0","0","7","13","53.85%","2,063","70,307","2,900","75,270","137,177","60.36%","10,753","7"
"05/13","âŒ","2","6","0","0","8","13","61.54%","25,041","48,285","3,900","77,226","137,177","61.93%","9,653","8"
"05/14","êÖ","3","11","0","0","14","13","107.69%","28,398","68,845","41,418","138,661","137,177","111.19%","9,904","15"
"05/15","ñÿ","1","5","0","1","7","13","53.85%","17,009","64,890","17,318","99,217","137,177","79.56%","14,174","6"
"05/16","ã‡","5","9","0","0","14","13","107.69%","25,472","102,080","19,000","146,552","137,177","117.52%","10,468","14"
"05/17","ìy","7","11","0","0","18","13","138.46%","50,146","97,204","4,800","152,150","137,177","122.01%","8,453","18"
"05/18","ì˙","0","12","0","0","12","13","92.31%","36,287","122,290","0","158,577","137,177","127.16%","13,215","12"
"05/19","åé","2","8","0","0","10","13","76.92%","26,690","64,717","5,200","96,607","137,178","77.47%","9,661","9"
"05/20","âŒ","1","8","0","0","9","13","69.23%","13,877","90,003","24,100","127,980","137,178","102.63%","14,220","9"
"05/21","êÖ","3","8","0","0","11","13","84.62%","16,848","69,677","0","86,525","137,178","69.38%","7,866","11"
"05/22","ñÿ","4","9","0","0","13","13","100%","40,200","102,088","0","142,288","137,178","114.1%","10,945","13"
"05/23","ã‡","2","12","0","0","14","13","107.69%","47,770","77,626","0","125,396","137,178","100.56%","8,957","14"
"05/24","ìy","4","20","0","0","24","13","184.62%","76,500","173,266","0","249,766","137,178","200.29%","10,407","24"
"05/25","ì˙","2","18","0","0","20","13","153.85%","53,014","176,945","2,954","232,913","137,178","186.77%","11,646","20"
"05/26","åé","3","10","0","0","13","13","100%","24,666","114,321","5,300","144,287","137,178","115.7%","11,099","12"
"05/27","âŒ","3","6","0","0","9","13","69.23%","11,600","64,871","2,600","79,071","137,178","63.41%","8,786","9"
"05/28","êÖ","3","8","0","0","11","13","84.62%","16,307","72,100","0","88,407","137,178","70.89%","8,037","11"
"05/29","ñÿ","3","7","0","0","10","13","76.92%","19,164","102,368","14,900","136,432","137,178","109.41%","13,643","10"
"05/30","ã‡","1","7","0","0","8","14","57.14%","20,397","72,819","0","93,216","137,178","74.75%","11,652","8"
"05/31","ìy","6","15","0","0","21","14","150%","38,185","174,344","0","212,529","137,178","170.43%","10,120","21"
"TOTAL","","93","312","0","2","407","405","100.49%","912,999","3,004,979","264,671","4,182,649","4,252,500","98.36%","10,277","401"
