"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"02/01","木","4","6","0","0","10","0","0%","11,431","0","67,531","78,962","0","0%","7,896","9"
"02/02","金","0","10","0","0","10","0","0%","27,600","0","70,579","98,179","0","0%","9,818","10"
"02/03","土","4","17","0","0","21","0","0%","56,598","0","165,015","221,613","0","0%","10,553","21"
"02/04","日","6","8","0","0","14","0","0%","28,600","0","70,779","99,379","0","0%","7,099","13"
"02/05","月","3","5","0","0","8","0","0%","30,572","0","51,289","81,861","0","0%","10,233","8"
"02/06","火","1","1","0","0","2","0","0%","500","0","21,154","21,654","0","0%","10,827","2"
"02/07","水","3","4","0","1","8","0","0%","14,354","0","48,344","62,698","0","0%","7,837","7"
"02/08","木","2","8","0","0","10","0","0%","40,897","0","82,481","123,378","0","0%","12,338","8"
"02/09","金","2","6","0","0","8","0","0%","12,832","0","71,675","84,507","0","0%","10,563","7"
"02/10","土","5","14","0","0","19","0","0%","37,083","0","154,404","191,487","0","0%","10,078","19"
"02/11","日","1","7","0","0","8","0","0%","25,902","0","55,697","81,599","0","0%","10,200","8"
"02/12","月","8","10","0","0","18","0","0%","31,092","0","102,285","133,377","0","0%","7,410","17"
"02/13","火","7","8","0","0","15","0","0%","21,989","0","97,744","119,733","0","0%","7,982","13"
"02/14","水","3","9","0","0","12","0","0%","11,365","0","95,623","106,988","0","0%","8,916","9"
"02/15","木","4","8","0","0","12","0","0%","27,900","0","50,134","78,034","0","0%","6,503","11"
"02/16","金","4","5","0","0","9","0","0%","10,500","0","77,542","88,042","0","0%","9,782","9"
"02/17","土","3","16","0","0","19","0","0%","57,355","0","120,523","177,878","0","0%","9,362","18"
"02/18","日","5","12","0","0","17","0","0%","22,800","0","129,078","151,878","0","0%","8,934","16"
"02/19","月","1","11","0","0","12","0","0%","12,046","0","94,516","106,562","0","0%","8,880","10"
"02/20","火","4","10","0","0","14","0","0%","18,195","0","99,647","117,842","0","0%","8,417","12"
"02/21","水","6","4","0","0","10","0","0%","13,479","0","95,319","108,798","0","0%","10,880","10"
"02/22","木","0","9","0","0","9","0","0%","18,518","0","71,161","89,679","0","0%","9,964","9"
"02/23","金","6","8","0","0","14","0","0%","25,698","0","102,680","128,378","0","0%","9,170","14"
"02/24","土","4","5","0","0","9","0","0%","7,893","0","57,769","65,662","0","0%","7,296","9"
"02/25","日","8","8","0","0","16","0","0%","23,800","0","101,988","125,788","0","0%","7,862","16"
"02/26","月","4","5","0","0","9","0","0%","22,000","0","61,226","83,226","0","0%","9,247","8"
"02/27","火","8","3","0","0","11","0","0%","11,300","0","93,287","104,587","0","0%","9,508","11"
"02/28","水","5","6","0","0","11","0","0%","20,300","0","80,761","101,061","0","0%","9,187","11"
"02/29","木","4","7","0","0","11","0","0%","26,500","0","74,798","101,298","0","0%","9,209","11"
"TOTAL","","115","230","0","1","346","0","0%","669,099","0","2,465,029","3,134,128","0","0%","9,058","326"
