"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"03/01","水","3","3","0","0","6","0","0%","1,991","0","60,398","62,389","0","0%","10,398","7"
"03/02","木","0","4","0","0","4","0","0%","25,200","0","7,254","32,454","0","0%","8,114","3"
"03/03","金","6","5","0","0","11","0","0%","31,491","0","77,880","109,371","0","0%","9,943","12"
"03/04","土","3","6","0","0","9","0","0%","17,986","0","65,339","83,325","0","0%","9,258","9"
"03/05","日","4","6","0","0","10","0","0%","24,545","0","47,971","72,516","0","0%","7,252","10"
"03/06","月","2","5","0","0","7","0","0%","19,336","0","64,662","83,998","0","0%","12,000","7"
"03/07","火","1","7","0","0","8","0","0%","11,140","0","51,085","62,225","0","0%","7,778","8"
"03/08","水","1","4","0","0","5","0","0%","27,608","0","16,763","44,371","0","0%","8,874","5"
"03/09","木","1","6","0","0","7","0","0%","3,451","0","47,666","51,117","0","0%","7,302","7"
"03/10","金","2","4","0","0","6","0","0%","26,784","0","58,142","84,926","0","0%","14,154","6"
"03/11","土","1","7","0","0","8","0","0%","21,896","0","61,203","83,099","0","0%","10,387","8"
"03/12","日","5","6","0","0","11","0","0%","20,086","0","65,047","85,133","0","0%","7,739","10"
"03/13","月","4","2","0","0","6","0","0%","13,300","0","17,099","30,399","0","0%","5,067","6"
"03/14","火","2","4","0","0","6","0","0%","13,718","0","25,863","39,581","0","0%","6,597","4"
"03/15","水","0","4","0","0","4","0","0%","14,372","0","23,682","38,054","0","0%","9,514","4"
"03/16","木","0","7","0","0","7","0","0%","5,692","0","89,398","95,090","0","0%","13,584","7"
"03/17","金","3","8","0","0","11","0","0%","12,487","0","91,111","103,598","0","0%","9,418","10"
"03/18","土","2","10","0","0","12","0","0%","5,300","0","92,805","98,105","0","0%","8,175","12"
"03/19","日","0","6","0","0","6","0","0%","12,800","0","25,399","38,199","0","0%","6,367","6"
"03/20","月","0","4","0","0","4","0","0%","1,000","0","42,217","43,217","0","0%","10,804","4"
"03/21","火","11","4","0","0","15","0","0%","29,824","0","86,064","115,888","0","0%","7,726","15"
"03/22","水","2","4","0","0","6","0","0%","25,800","0","28,381","54,181","0","0%","9,030","4"
"03/23","木","2","4","0","0","6","0","0%","14,500","0","27,672","42,172","0","0%","7,029","6"
"03/24","金","2","6","0","0","8","0","0%","25,438","0","57,379","82,817","0","0%","10,352","8"
"03/25","土","4","2","0","0","6","0","0%","13,942","0","31,257","45,199","0","0%","7,533","6"
"03/26","日","3","11","0","0","14","0","0%","34,982","0","87,386","122,368","0","0%","8,741","13"
"03/27","月","1","6","0","1","8","0","0%","19,045","0","41,498","60,543","0","0%","7,568","7"
"03/28","火","3","3","0","1","7","0","0%","7,409","0","46,208","53,617","0","0%","7,660","6"
"03/29","水","0","3","0","0","3","0","0%","12,792","0","10,244","23,036","0","0%","7,679","3"
"03/30","木","3","3","0","0","6","0","0%","6,202","0","55,133","61,335","0","0%","10,223","7"
"03/31","金","2","7","0","0","9","0","0%","17,799","0","38,726","56,525","0","0%","6,281","9"
"TOTAL","","73","161","0","2","236","0","0%","517,916","0","1,540,932","2,058,848","0","0%","8,724","229"
