"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"12/01","月","8","20","0","0","28","30","93.33%","42,500","0","159,507","202,007","210,000","105.81%","7,215","28"
"12/02","火","11","10","0","0","21","30","70%","83,409","0","87,244","170,653","210,000","89.39%","8,126","22"
"12/03","水","15","25","0","0","40","30","133.33%","80,500","0","181,481","261,981","210,000","137.23%","6,550","40"
"12/04","木","7","21","0","0","28","30","93.33%","65,500","0","169,153","234,653","210,000","122.91%","8,380","28"
"12/05","金","8","19","0","3","30","30","100%","90,200","0","127,168","217,368","210,000","113.86%","7,246","28"
"12/06","土","7","21","0","0","28","30","93.33%","75,000","0","127,779","202,779","210,000","106.22%","7,242","28"
"12/07","日","9","22","0","0","31","30","103.33%","40,500","0","194,552","235,052","210,000","123.12%","7,582","32"
"12/08","月","8","16","0","0","24","30","80%","62,000","0","137,026","199,026","210,000","104.25%","8,293","24"
"12/09","火","14","10","0","1","25","30","83.33%","82,300","0","123,781","206,081","210,000","107.95%","8,243","25"
"12/10","水","15","29","0","0","44","30","146.67%","124,550","0","198,236","322,786","210,000","169.08%","7,336","44"
"12/11","木","9","20","0","0","29","30","96.67%","86,909","0","146,398","233,307","210,000","122.21%","8,045","29"
"12/12","金","11","23","0","1","35","30","116.67%","82,000","0","156,988","238,988","210,000","125.19%","6,828","34"
"12/13","土","10","17","0","0","27","30","90%","83,500","0","123,708","207,208","210,000","108.54%","7,674","28"
"12/14","日","9","22","0","1","32","30","106.67%","106,000","0","140,550","246,550","210,000","129.15%","7,705","31"
"12/15","月","12","13","0","0","25","30","83.33%","53,500","0","155,271","208,771","210,000","109.36%","8,351","27"
"12/16","火","13","21","0","1","35","30","116.67%","118,000","0","181,090","299,090","210,000","156.67%","8,545","37"
"12/17","水","13","18","0","0","31","30","103.33%","59,000","0","161,681","220,681","210,000","115.6%","7,119","31"
"12/18","木","9","22","0","0","31","30","103.33%","89,600","0","180,234","269,834","210,000","141.34%","8,704","34"
"12/19","金","15","24","0","0","39","30","130%","76,000","0","172,612","248,612","210,000","130.23%","6,375","39"
"12/20","土","12","23","0","0","35","30","116.67%","109,500","0","161,771","271,271","210,000","142.1%","7,751","35"
"12/21","日","11","20","0","0","31","30","103.33%","133,409","0","117,953","251,362","210,000","131.67%","8,108","31"
"12/22","月","6","27","0","0","33","30","110%","48,000","0","176,352","224,352","210,000","117.52%","6,799","33"
"12/23","火","12","21","0","0","33","30","110%","92,500","0","193,369","285,869","210,000","149.74%","8,663","33"
"12/24","水","9","10","0","1","20","30","66.67%","2,500","0","141,626","144,126","210,000","75.5%","7,206","20"
"12/25","木","4","10","0","0","14","30","46.67%","62,500","0","65,463","127,963","210,000","67.03%","9,140","14"
"12/26","金","12","28","0","1","41","30","136.67%","80,500","0","253,692","334,192","210,000","175.06%","8,151","41"
"12/27","土","13","31","0","0","44","30","146.67%","76,500","0","268,516","345,016","210,000","180.72%","7,841","44"
"12/28","日","13","17","0","0","30","30","100%","57,500","0","150,672","208,172","210,000","109.04%","6,939","32"
"12/29","月","6","10","0","1","17","30","56.67%","2,500","0","95,471","97,971","210,000","51.32%","5,763","16"
"12/30","火","8","3","0","0","11","30","36.67%","500","0","64,034","64,534","210,000","33.8%","5,867","11"
"12/31","水","0","0","0","0","0","30","0%","0","0","0","0","210,000","0%","0","0"
"TOTAL","","309","573","0","10","892","930","95.91%","2,166,877","0","4,613,378","6,780,255","6,510,000","104.15%","7,601","899"
