"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"01/01","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"01/02","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"01/03","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"01/04","木","5","4","0","0","9","0","0%","1,500","0","71,724","73,224","0","0%","8,136","9"
"01/05","金","4","8","0","0","12","0","0%","13,600","0","90,343","103,943","0","0%","8,662","11"
"01/06","土","6","10","0","0","16","0","0%","35,587","0","119,500","155,087","0","0%","9,693","15"
"01/07","日","2","7","0","0","9","0","0%","29,472","0","19,963","49,435","0","0%","5,493","9"
"01/08","月","5","8","0","0","13","0","0%","35,824","0","56,511","92,335","0","0%","7,103","13"
"01/09","火","2","9","0","0","11","0","0%","62,368","0","64,321","126,689","0","0%","11,517","10"
"01/10","水","7","7","0","0","14","0","0%","24,345","0","108,407","132,752","0","0%","9,482","12"
"01/11","木","2","4","0","0","6","0","0%","15,227","0","46,944","62,171","0","0%","10,362","5"
"01/12","金","3","6","0","0","9","0","0%","19,009","0","61,298","80,307","0","0%","8,923","7"
"01/13","土","5","12","0","0","17","0","0%","23,545","0","141,069","164,614","0","0%","9,683","17"
"01/14","日","3","9","0","0","12","0","0%","20,393","0","79,694","100,087","0","0%","8,341","12"
"01/15","月","3","8","0","0","11","0","0%","10,341","0","86,457","96,798","0","0%","8,800","11"
"01/16","火","1","3","0","0","4","0","0%","1,500","0","49,126","50,626","0","0%","12,657","4"
"01/17","水","0","5","0","0","5","0","0%","2,458","0","59,132","61,590","0","0%","12,318","5"
"01/18","木","3","10","0","0","13","0","0%","11,755","0","96,796","108,551","0","0%","8,350","12"
"01/19","金","2","4","0","0","6","0","0%","15,493","0","36,978","52,471","0","0%","8,745","6"
"01/20","土","4","11","0","0","15","0","0%","34,418","0","86,335","120,753","0","0%","8,050","15"
"01/21","日","3","6","0","0","9","0","0%","23,689","0","40,836","64,525","0","0%","7,169","9"
"01/22","月","2","6","0","0","8","0","0%","6,800","0","77,416","84,216","0","0%","10,527","8"
"01/23","火","2","5","0","0","7","0","0%","4,982","0","55,416","60,398","0","0%","8,628","7"
"01/24","水","1","9","0","0","10","0","0%","24,262","0","70,854","95,116","0","0%","9,512","10"
"01/25","木","3","5","0","0","8","0","0%","9,576","0","47,577","57,153","0","0%","7,144","6"
"01/26","金","1","4","0","0","5","0","0%","15,436","0","23,236","38,672","0","0%","7,734","5"
"01/27","土","3","17","0","0","20","0","0%","46,496","0","132,298","178,794","0","0%","8,940","20"
"01/28","日","4","12","0","0","16","0","0%","42,285","0","98,346","140,631","0","0%","8,789","16"
"01/29","月","1","5","0","0","6","0","0%","482","0","46,771","47,253","0","0%","7,876","2"
"01/30","火","4","5","0","0","9","0","0%","6,221","0","77,567","83,788","0","0%","9,310","9"
"01/31","水","2","4","0","0","6","0","0%","7,929","0","40,677","48,606","0","0%","8,101","6"
"TOTAL","","83","203","0","0","286","0","0%","544,993","0","1,985,592","2,530,585","0","0%","8,848","271"
